taxonunitid,kingdomName,rankid,rankname,suffix,dirparentrankid,reqparentrankid,modifiedby,modifiedtimestamp,initialtimestamp
24,Organism,1,Organism,NULL,1,1,NULL,NULL,"2018-09-07 09:59:10"
25,Organism,10,Kingdom,NULL,1,1,NULL,NULL,"2018-09-07 09:59:10"
26,Organism,20,Subkingdom,NULL,10,10,NULL,NULL,"2018-09-07 09:59:10"
27,Organism,30,Division,NULL,20,10,NULL,NULL,"2018-09-07 09:59:10"
28,Organism,40,Subdivision,NULL,30,30,NULL,NULL,"2018-09-07 09:59:10"
29,Organism,50,Superclass,NULL,40,30,NULL,NULL,"2018-09-07 09:59:10"
30,Organism,60,Class,NULL,50,30,NULL,NULL,"2018-09-07 09:59:10"
31,Organism,70,Subclass,NULL,60,60,NULL,NULL,"2018-09-07 09:59:10"
32,Organism,100,Order,NULL,70,60,NULL,NULL,"2018-09-07 09:59:10"
33,Organism,110,Suborder,NULL,100,100,NULL,NULL,"2018-09-07 09:59:10"
34,Organism,140,Family,NULL,110,100,NULL,NULL,"2018-09-07 09:59:10"
35,Organism,150,Subfamily,NULL,140,140,NULL,NULL,"2018-09-07 09:59:10"
36,Organism,160,Tribe,NULL,150,140,NULL,NULL,"2018-09-07 09:59:10"
37,Organism,170,Subtribe,NULL,160,140,NULL,NULL,"2018-09-07 09:59:10"
38,Organism,180,Genus,NULL,170,140,NULL,NULL,"2018-09-07 09:59:10"
39,Organism,190,Subgenus,NULL,180,180,NULL,NULL,"2018-09-07 09:59:10"
40,Organism,200,Section,NULL,190,180,NULL,NULL,"2018-09-07 09:59:10"
41,Organism,210,Subsection,NULL,200,180,NULL,NULL,"2018-09-07 09:59:10"
42,Organism,220,Species,NULL,210,180,NULL,NULL,"2018-09-07 09:59:10"
43,Organism,230,Subspecies,NULL,220,180,NULL,NULL,"2018-09-07 09:59:10"
44,Organism,240,Variety,NULL,220,180,NULL,NULL,"2018-09-07 09:59:10"
45,Organism,250,Subvariety,NULL,240,180,NULL,NULL,"2018-09-07 09:59:10"
46,Organism,260,Form,NULL,220,180,NULL,NULL,"2018-09-07 09:59:10"
47,Organism,270,Subform,NULL,260,180,NULL,NULL,"2018-09-07 09:59:10"
48,Organism,300,Cultivated,NULL,220,220,NULL,NULL,"2018-09-07 09:59:10"
49,Monera,1,Organism,NULL,1,1,NULL,NULL,"2018-09-07 09:59:10"
50,Monera,10,Kingdom,NULL,1,1,NULL,NULL,"2018-09-07 09:59:10"
51,Monera,20,Subkingdom,NULL,10,10,NULL,NULL,"2018-09-07 09:59:10"
52,Monera,30,Phylum,NULL,20,10,NULL,NULL,"2018-09-07 09:59:10"
53,Monera,40,Subphylum,NULL,30,30,NULL,NULL,"2018-09-07 09:59:10"
54,Monera,60,Class,NULL,50,30,NULL,NULL,"2018-09-07 09:59:10"
55,Monera,70,Subclass,NULL,60,60,NULL,NULL,"2018-09-07 09:59:10"
56,Monera,100,Order,NULL,70,60,NULL,NULL,"2018-09-07 09:59:10"
