acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ACHCAP,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"diatombase.org/aphia.php?p=taxdetails&id=845263 (accessed April 4, 2022) (accessed November 11, 2021)","Riaux-Gobin, C.; Romero, O. E.; Compère, P.; Al-Handal, A. Y. (2011). Small-sized Achnanthales (Bacillariophyta) from coral sands off Mascarenes (Western Indian Ocean). Bibliotheca Diatomologica. 57: 1-234",Pennales,,"Achnanthidium capitatum Riaux Gobin, Romero, Compère & Al Handal","Riaux Gobin, Romero, Compère & Al Handal",capitatum,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHCAP,Diatom,ALGAE
ACHLIN,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"www.diatombase.org/aphia.php?p=taxdetails&id=163589 (accessed July 21, 2020)","Smith, W. (1855). Notes of an excursion to the south of France and the Auvergne in Search of Diatomaceae. Annals and Magazine of Natural History, 2nd series,, 15: 1-9, pl. 1. page(s): p. 8; pl. 1, fig. 9",Pennales,,Achnanthidium lineare W.Smith,W.Smith,lineare,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHLIN,Diatom,ALGAE
ACHLIN1,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"www.algaebase.org/search/species/detail/?species_id=145123 (accessed December 21, 2020)","Krammer, K. & Lange-Bertalot, H. (2004). Bacillariophyceae 4. Teil: Achnanthaceae, Kritische Erganzungen zu Navicula (Lineolatae), Gomphonema. Gesamtliteraturverzeichnis Teil 1-4 [second revised edition] [With \""Ergänzungen und Revisionen\"" by H. Lange Bertalot]. In: Süßwasserflora von Mitteleuropa. (Ettl, H. et al. Eds) Vol. 2, pp. 1-468. Heidelberg: Spektrum Akademischer Verlag.",Pennales,,Achnanthidium linearioides Lange-Bertalot,Lange-Bertalot,linearioides,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHLIN1,Diatom,ALGAE
ACHNANTHACEAESP,Bacillariophyceae,Achnanthaceae,,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Achnanthaceae sp.,,sp.,,family,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHNANTHACEAESP,Diatom,ALGAE
ACHNANTHACEAESPP,Bacillariophyceae,Achnanthaceae,,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Achnanthaceae spp.,,spp.,,family,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHNANTHACEAESPP,Diatom,ALGAE
ACHNANTHESSPP,Bacillariophyceae,Achnanthaceae,Achnanthes,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Achnanthes spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHNANTHESSPP,Diatom,ALGAE
ACHNANTHIDFSP,Bacillariophyceae,Achnanthidiaceae,,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Achnanthidiaceae sp.,,sp.,,family,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHNANTHIDFSP,Diatom,ALGAE
ACHNANTHIDFSPP,Bacillariophyceae,Achnanthidiaceae,,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Achnanthidiaceae spp.,,spp.,,family,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHNANTHIDFSPP,Diatom,ALGAE
ACHNANTHIDIUMSPP,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"http://diatom.ansp.org/nawqa/Taxalist.aspx (accessed Jan 11, 2016).","Academy of Natural Sciences of Drexel University and collaborators. 2011 - 2016. ANSP/NAWQA/EPA 2011 diatom and non-diatom taxa names, http://diatom.ansp.org/nawqa/Taxalist.aspx, accessed 1/11/2016.",Pennales,,Achnanthidium spp.,,spp.,,genus,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHNANTHIDIUMSPP,Diatom,ALGAE
ACHPUS,Bacillariophyceae,Achnanthidiaceae,Achnanthidium,,Chromista,"www.algaebase.org/search/species/detail/?species_id=40147 (accessed December 21, 2020)","Czarnecki, D.B. & Edlund, M.B. (1995). New combinations for some taxa of Achnanthes. Diatom Research 10(1): 207-209.",Pennales,,Achnanthidium pusillum (Grunow) Czarnecki,(Grunow) Czarnecki,pusillum,,species,,Chrysophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHPUS,Diatom,ALGAE
