acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ABDU,Aves,Anatidae,Anas,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Anseriformes,Chordata,Anas rubripes,Brewster,rubripes,,species,American Black Duck,,,,,Deuterostomia,,Gnathostomata,,,,,Anatinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,ABDU,other,BIRD
ABFL,Aves,Muscicapidae,Muscicapa,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Muscicapa dauurica,Pallas,dauurica,,species,Asian Brown Flycatcher,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,ABFL,landbird,BIRD
ABTO,Aves,Emberizidae,Melozone,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Melozone aberti,(S. F. Baird),aberti,,species,Abert's Towhee,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,ABTO,landbird,BIRD
ACFL,Aves,Tyrannidae,Empidonax,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Empidonax virescens,(Vieillot),virescens,,species,Acadian Flycatcher,,,,,Deuterostomia,,Gnathostomata,,,,,Fluvicolinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,ACFL,landbird,BIRD
ACWO,Aves,Picidae,Melanerpes,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Piciformes,Chordata,Melanerpes formicivorus,(Swainson),formicivorus,,species,Acorn Woodpecker,,,,,Deuterostomia,,Gnathostomata,,,,,Picinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,ACWO,landbird,BIRD
ADWA,Aves,Parulidae,Setophaga,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Setophaga adelaidae,(S. F. Baird),adelaidae,,species,Adelaide's Warbler,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,ADWA,landbird,BIRD
AFCD,Aves,Columbidae,Streptopelia,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Columbiformes,Chordata,Streptopelia roseogrisea,(Sundevall),roseogrisea,,species,African Collared-Dove,,,,,Deuterostomia,,Gnathostomata,,,,,Columbinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,AFCD,landbird,BIRD
AFOW,Aves,Tytonidae,Tyto,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Strigiformes,Chordata,Tyto glaucops,(Kaup),glaucops,,species,Ashy-faced Owl,,,,,Deuterostomia,,Gnathostomata,,,,,Tytoninae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,AFOW,other,BIRD
AFSI,Aves,Estrildidae,Euodice,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Passeriformes,Chordata,Euodice cantans,(Gmelin),cantans,,species,African Silverbill,,,,,Deuterostomia,,Gnathostomata,,,,,,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,AFSI,landbird,BIRD
AGHE,Aves,Ardeidae,Agamia,,Animalia,doi: 10.1642/AUK-15-73.1,"Chessler, R. T., et al. 2015. Fifty-sixth Supplement to the American Ornithologists' Union Check-list of North American Birds. Auk 132:748-764.",Pelecaniformes,Chordata,Agamia agami,(Gmelin),agami,,species,Agami Heron,,,,,Deuterostomia,,Gnathostomata,,,,,Tigrisomatinae,,Bilateria,,Vertebrata,,,,,Tetrapoda,,,,,,,,AGHE,other,BIRD
