acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
AEDABO,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aboriginis,"Dyar, 1917",aboriginis,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDABO,target,MOSQUITO
AEDABS,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes abserratus,"(Felt and Young, 1904)",abserratus,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDABS,target,MOSQUITO
AEDPUL,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes acrophilus,"Dyar, 1917",acrophilus,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDACR,target,MOSQUITO
AEDAEG,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aegypti,"(Linnaeus, 1762)",aegypti,Stegomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAEG,target,MOSQUITO
AEDAEG1,Insecta,Culicidae,Aedes,aegypti,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aegypti aegypti,"(Linnaeus, 1762)",aegypti,Stegomyia,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAEG1,target,MOSQUITO
AEDAEG2,Insecta,Culicidae,Aedes,formosus,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aegypti formosus,"(Walker, 1848)",aegypti,Stegomyia,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAEG2,target,MOSQUITO
HAEEQU,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes affirmatus,Dyar & Knab,affirmatus,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAFF,target,MOSQUITO
AEDALB,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes albopictus,"(Skuse, 1895)",albopictus,Stegomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDALB,target,MOSQUITO
AEDMER,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes albertae,"Dyar, 1920",albertae,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDALB1,target,MOSQUITO
AEDSTI,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aldrichi,"Dyar and Knab, 1908",aldrichi,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDALD,target,MOSQUITO
AEDZOO,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes alleni,"Turner, 1924",alleni,,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDALL,target,MOSQUITO
