acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ALPHV,,Togaviridae,Alphavirus,,,https://talk.ictvonline.org/taxonomy  (accessed 9/11/2018),"The Universal Virus Database of the International Committee on taxonomy of Viruses, https://talk.ictvonline.org/taxonomy, accessed 9/11/2018.",,,Alphavirus sp.,,sp.,,genus,Alphavirus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALPHV,target,MOSQUITO_PATHOGENS
BUNV,,Bunyaviridae,,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Bunyaviridae,,sp.,,family,Bunyaviridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUNV,target,MOSQUITO_PATHOGENS
BUNV1,,Bunyaviridae,Orthobunyavirus,,,https://talk.ictvonline.org/taxonomy  (accessed 9/11/2018),"The Universal Virus Database of the International Committee on taxonomy of Viruses, https://talk.ictvonline.org/taxonomy, accessed 9/11/2018.",,,Orthobunyavirus sp.,,sp.,,genus,Orthobunyavirus sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUNV1,target,MOSQUITO_PATHOGENS
CEV,,Bunyaviridae,Orthobunyavirus,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,California encephalitis virus,,California encephalitis virus,,species,California encephalitis virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEV,target,MOSQUITO_PATHOGENS
CHIKV,,Togaviridae,Alphavirus,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Chikungunya virus,,Chikungunya virus,,species,Chikungunya virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIKV,target,MOSQUITO_PATHOGENS
CRV,,Flaviviridae,Flavivirus,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Cowbone Ridge virus,,Cowbone Ridge virus,,species,Cowbone Ridge virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CRV,target,MOSQUITO_PATHOGENS
DENV,,Flaviviridae,Flavivirus,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Dengue virus,,Dengue virus,,species,Dengue virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DENV,target,MOSQUITO_PATHOGENS
EEEV,,Togaviridae,Alphavirus,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Eastern equine encephalitis virus,,Eastern equine encephalitis virus,,species,Eastern equine encephalitis virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EEEV,target,MOSQUITO_PATHOGENS
EVEV,,Togaviridae,Alphavirus,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Everglades virus,,Everglades virus,,species,Everglades virus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EVEV,target,MOSQUITO_PATHOGENS
FLAV,,Flaviviridae,,,,http://ictvdb.bio-mirror.cn/Ictv  (accessed 9/3/2015),"The Universal Virus Database of the International Committee on taxonomy of Viruses, http://ictvdb.bio-mirror.cn/Ictv/, accessed 9/3/2015.",,,Flaviviridae,,sp.,,family,Flaviviridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLAV,target,MOSQUITO_PATHOGENS
