acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ALOE,Mammalia,Cricetidae,Alexandromys,,Animalia,doi: 10.1093/jmammal/gyw170,"Liu S., W. Jin, Y. Liu, R.W. Murphy, B. Lv, H. Hao, R. Liao, Z. Sun, M. Tang, W. Chen, and J. Fu. 2017. Taxonomic position of Chinese voles of the tribe Arvicolini and the description of 2 new species from Xizang, China. Journal of Mammalogy 98(1):166-182",Rodentia,Chordata,Alexandromys oeconomus,Pallas,oeconomus,,species,Root Vole,,,,,,,,,,,,Arvicolinae,,,,,,,,,,,,,,,,,ALOE,target,SMALL_MAMMAL
AMHA,Mammalia,Sciuridae,Ammospermophilus,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Ammospermophilus harrisii,Audubon and Bachman,harrisii,,species,Harriss Antelope Squirrel,,,,,,,,,,,,Xerinae,,,,,,,,,,,,,,Marmotini,,,AMHA,opportunistic,SMALL_MAMMAL
AMIN,Mammalia,Sciuridae,Ammospermophilus,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Ammospermophilus interpres,Merriam,interpres,,species,Texas Antelope Squirrel,,,,,,,,,,,,Xerinae,,,,,,,,,,,,,,Marmotini,,,AMIN,opportunistic,SMALL_MAMMAL
AMLE,Mammalia,Sciuridae,Ammospermophilus,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Ammospermophilus leucurus,Merriam,leucurus,,species,Whitetailed Antelope Squirrel,,,,,,,,,,,,Xerinae,,,,,,,,,,,,,,Marmotini,,,AMLE,opportunistic,SMALL_MAMMAL
AMLT,Mammalia,Sciuridae,Ammospermophilus,tersus,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Ammospermophilus leucurus tersus,Goldman,leucurus,,subspecies,,,,,,,,,,,,,Xerinae,,,,,,,,,,,,,,Marmotini,,,AMLT,opportunistic,SMALL_MAMMAL
AMNE,Mammalia,Sciuridae,Ammospermophilus,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Ammospermophilus nelsoni,Merriam,nelsoni,,species,Nelsons Antelope Squirrel,,,,,,,,,,,,Xerinae,,,,,,,,,,,,,,Marmotini,,,AMNE,opportunistic,SMALL_MAMMAL
AMSP,Mammalia,Sciuridae,Ammospermophilus,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Ammospermophilus sp.,,sp.,,genus,,,,,,,,,,,,,Xerinae,,,,,,,,,,,,,,Marmotini,,,AMSP,opportunistic,SMALL_MAMMAL
APRN,Mammalia,Aplodontiidae,Aplodontia,nigra,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Aplodontia rufa nigra,Taylor,rufa,,subspecies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRN,non-target,SMALL_MAMMAL
APRU,Mammalia,Aplodontiidae,Aplodontia,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Aplodontia rufa,Rafinesque,rufa,,species,Sewellel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APRU,non-target,SMALL_MAMMAL
ARAL,Mammalia,Cricetidae,Arborimus,,Animalia,isbn: 978 0801882210,"Wilson D. E. and D. M. Reeder. 2005. Mammal Species of the World; A Taxonomic and Geographic Reference. Third edition. Johns Hopkins University Press; Baltimore, MD.",Rodentia,Chordata,Arborimus albipes,Merriam,albipes,,species,Whitefooted Vole,,,,,,,,,,,,Arvicolinae,,,,,,,,,,,,,,,,,ARAL,target,SMALL_MAMMAL
