acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
AMBAME,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus americanus,Linnaeus,americanus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAAME,target,TICK
AMBCAJ,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus cajennensis,Fabricius,cajennensis,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACACAJ,target,TICK
ARGREF,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus columbarum,Shaw,columbarum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACACOL,target,TICK
ARGREF,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus marginatus,Fabricius,marginatus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAMAR,target,TICK
AMBAME,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus nigua,De Geer,nigua,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACANIG,target,TICK
ARGREF,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus reflexus,Latreille,reflexus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAREF,target,TICK
AMBVAR,Arachnida,Ixodidae,Acarus,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Acarus variegatus,Fabricius,variegatus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAVAR,target,TICK
CARCON,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius aquilae,Pospelova-Shtrom,aquilae,Alectorobius,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEAQU,non-target,TICK
CARCON,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius concanensis,Camicas et al.,concanensis,Alectorobius,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALECON,non-target,TICK
CARDYE,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius dyeri,Morel stat.,dyeri,Reticulibius,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEDYE,non-target,TICK
ORNHER,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius hermsi,Camicas et al.,hermsi,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEHER,non-target,TICK
CARKEL,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius kelleyi,Pospelova-Shtrom,kelleyi,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEKEL,non-target,TICK
ORNPAR,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius parkeri,Camicas et al.,parkeri,Theriodoros,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEPAR,non-target,TICK
CARPUE,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius puertoricensis,Camicas et al.,puertoricensis,Alectorobius,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEPUE,non-target,TICK
CARSTA,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius stageri,Camicas et al.,stageri,Alectorobius,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALESTA,non-target,TICK
CARVIG,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius viguerasi,Camicas & Morel,viguerasi,Subparmatus,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEVIG,non-target,TICK
CARYUM,Arachnida,Argasidae,Alectorobius,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Alectorobius yumatensis,Morel stat.,yumatensis,Reticulibius,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALEYUM,non-target,TICK
AMBROT,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org, accessed Jul 20, 2016",Ixodida,Arthropoda,Amblyomma agamum,Aragão,agamum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBAGA,target,TICK
AMBAME,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=2e0eef6b7528f68eec2881c33ca96d53&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=2e0eef6b7528f68eec2881c33ca96d53&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma americanum,Linnaeus,americanum,,species,Lone Star tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBAME,target,TICK
