neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ACAFLA,FISH,True,91296,Acanthogobius flavimanus,,Acanthogobius flavimanus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Gobiidae,,,,Acanthogobius,,,,Acanthogobius flavimanus,,,,,,,
ACAPOM,FISH,True,91293,Acantharchus pomotis,,Acantharchus pomotis,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Centrarchidae,,,,Acantharchus,,,,Acantharchus pomotis,,,,,,,
ACASP,FISH,True,91292,Acantharchus,,Acantharchus sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Centrarchidae,,,,Acantharchus,,,,,,,,,,,
ACASP1,FISH,True,91295,Acanthogobius,,Acanthogobius sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Gobiidae,,,,Acanthogobius,,,,,,,,,,,
ACASPP,FISH,True,91292,Acantharchus,,Acantharchus spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Centrarchidae,,,,Acantharchus,,,,,,,,,,,
ACASPP1,FISH,True,91295,Acanthogobius,,Acanthogobius spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Perciformes,,,Gobiidae,,,,Acanthogobius,,,,,,,,,,,
ACHSP,FISH,True,91298,Achiridae,Class,Achiridae sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Pleuronectiformes,,,Achiridae,,,,,,,,,,,,,,,
ACHSPP,FISH,True,91298,Achiridae,Class,Achiridae spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Pleuronectiformes,,,Achiridae,,,,,,,,,,,,,,,
ACIBRE,FISH,True,91302,Acipenser brevirostrum,,Acipenser brevirostrum,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser brevirostrum,,,,,,,
ACIFUL,FISH,True,91303,Acipenser fulvescens,,Acipenser fulvescens,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser fulvescens,,,,,,,
ACIMED,FISH,True,91304,Acipenser medirostris,,Acipenser medirostris,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser medirostris,,,,,,,
ACIOXY,FISH,True,91305,Acipenser oxyrinchus,,Acipenser oxyrinchus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser oxyrinchus,,,,,,,
ACIOXY1,FISH,True,92754,Acipenser oxyrinchus desotoi,,Acipenser oxyrinchus desotoi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser oxyrinchus,Acipenser oxyrinchus desotoi,,,,,,
ACIOXY2,FISH,True,92755,Acipenser oxyrinchus oxyrinchus,,Acipenser oxyrinchus oxyrinchus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser oxyrinchus,Acipenser oxyrinchus oxyrinchus,,,,,,
ACIOXY3,FISH,True,92753,Acipenser oxyrhynchus desotoi,,Acipenser oxyrhynchus desotoi,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser oxyrhynchus,Acipenser oxyrhynchus desotoi,,,,,,
ACIOXY4,FISH,True,91306,Acipenser oxyrhynchus,,Acipenser oxyrhynchus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser oxyrhynchus,,,,,,,
ACISP,FISH,True,91301,Acipenser,,Acipenser sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,,,,,,,,
ACISP1,FISH,True,91300,Acipenseridae,Class,Acipenseridae sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,,,,,,,,,,,,
ACISP2,FISH,True,91299,Acipenseriformes,Subgenus,Acipenseriformes sp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,,,,,,,,,,,,,,,,
ACISPP,FISH,True,91301,Acipenser,,Acipenser spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,,,,,,,,
ACISPP1,FISH,True,91300,Acipenseridae,Class,Acipenseridae spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,,,,,,,,,,,,
ACISPP2,FISH,True,91299,Acipenseriformes,Subgenus,Acipenseriformes spp.,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,,,,,,,,,,,,,,,,
ACITRA,FISH,True,91307,Acipenser transmontanus,,Acipenser transmontanus,Organism,Animalia,,Chordata,Vertebrata,,Actinopterygii,,Acipenseriformes,,,Acipenseridae,,,,Acipenser,,,,Acipenser transmontanus,,,,,,,
