neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
AEDABO,MOSQUITO,True,80800,Aedes aboriginis,,Aedes aboriginis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aboriginis,,,,,,,
AEDABS,MOSQUITO,True,80801,Aedes abserratus,,Aedes abserratus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes abserratus,,,,,,,
AEDACR,MOSQUITO,True,80803,Aedes acrophilus,,Aedes acrophilus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes acrophilus,,,,,,,
AEDAEG,MOSQUITO,True,80804,Aedes aegypti,,Aedes aegypti,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aegypti,,,,,,,
AEDAEG1,MOSQUITO,True,141802,Aedes aegypti aegypti,,Aedes aegypti aegypti,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aegypti,Aedes aegypti aegypti,,,,,,
AEDAEG2,MOSQUITO,True,145774,Aedes aegypti formosus,,Aedes aegypti formosus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aegypti,Aedes aegypti formosus,,,,,,
AEDAFF,MOSQUITO,True,80807,Aedes affirmatus,,Aedes affirmatus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes affirmatus,,,,,,,
AEDALB,MOSQUITO,True,80810,Aedes albopictus,,Aedes albopictus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes albopictus,,,,,,,
AEDALB1,MOSQUITO,True,80809,Aedes albertae,,Aedes albertae,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes albertae,,,,,,,
AEDALD,MOSQUITO,True,80812,Aedes aldrichi,,Aedes aldrichi,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aldrichi,,,,,,,
