neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ALOE,SMALL_MAMMAL,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMHA,SMALL_MAMMAL,True,79265,Ammospermophilus harrisii,,Ammospermophilus harrisii,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Sciuridae,,,,Ammospermophilus,,,,Ammospermophilus harrisii,,,,,,,
AMIN,SMALL_MAMMAL,True,79266,Ammospermophilus interpres,,Ammospermophilus interpres,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Sciuridae,,,,Ammospermophilus,,,,Ammospermophilus interpres,,,,,,,
AMLE,SMALL_MAMMAL,True,79267,Ammospermophilus leucurus,,Ammospermophilus leucurus,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Sciuridae,,,,Ammospermophilus,,,,Ammospermophilus leucurus,,,,,,,
AMLT,SMALL_MAMMAL,True,88314,Ammospermophilus leucurus tersus,,Ammospermophilus leucurus tersus,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Sciuridae,,,,Ammospermophilus,,,,Ammospermophilus leucurus,Ammospermophilus leucurus tersus,,,,,,
AMNE,SMALL_MAMMAL,True,79268,Ammospermophilus nelsoni,,Ammospermophilus nelsoni,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Sciuridae,,,,Ammospermophilus,,,,Ammospermophilus nelsoni,,,,,,,
AMSP,SMALL_MAMMAL,True,79264,Ammospermophilus,,Ammospermophilus sp.,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Sciuridae,,,,Ammospermophilus,,,,,,,,,,,
APRN,SMALL_MAMMAL,True,88315,Aplodontia rufa nigra,,Aplodontia rufa nigra,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Aplodontiidae,,,,Aplodontia,,,,Aplodontia rufa,Aplodontia rufa nigra,,,,,,
APRU,SMALL_MAMMAL,True,79271,Aplodontia rufa,,Aplodontia rufa,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,,Aplodontiidae,,,,Aplodontia,,,,Aplodontia rufa,,,,,,,
ARAL,SMALL_MAMMAL,True,79273,Arborimus albipes,,Arborimus albipes,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,Muroidea,Cricetidae,,,,Arborimus,,,,Arborimus albipes,,,,,,,
ARLO,SMALL_MAMMAL,True,79274,Arborimus longicaudus,,Arborimus longicaudus,Organism,Animalia,,Chordata,Vertebrata,,Mammalia,,Rodentia,,Muroidea,Cricetidae,,,,Arborimus,,,,Arborimus longicaudus,,,,,,,
