neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ACAAME,TICK,True,132212,Acarus americanus,,Acarus americanus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus americanus,,,,,,,
ACACAJ,TICK,True,132213,Acarus cajennensis,,Acarus cajennensis,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus cajennensis,,,,,,,
ACACOL,TICK,True,132214,Acarus columbarum,,Acarus columbarum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus columbarum,,,,,,,
ACAMAR,TICK,True,132216,Acarus marginatus,,Acarus marginatus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus marginatus,,,,,,,
ACANIG,TICK,True,97519,Acarus nigua,,Acarus nigua,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus nigua,,,,,,,
ACAREF,TICK,True,132217,Acarus reflexus,,Acarus reflexus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus reflexus,,,,,,,
ACAVAR,TICK,True,132219,Acarus variegatus,,Acarus variegatus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Acarus,,,,Acarus variegatus,,,,,,,
ALEAQU,TICK,True,132276,Alectorobius aquilae,,Alectorobius aquilae,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,,,,,Alectorobius aquilae,,,,,,,
ALECON,TICK,True,132277,Alectorobius concanensis,,Alectorobius concanensis,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,,,,,Alectorobius concanensis,,,,,,,
ALEDYE,TICK,True,132278,Alectorobius dyeri,,Alectorobius dyeri,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,,,,,Alectorobius dyeri,,,,,,,
