neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ABAPAR,BEETLE,True,75736,Abax parallelepipedus,,Abax parallelepipedus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Abax,Abax (Abax),,,Abax parallelepipedus,,,,,,,
ABASP,BEETLE,True,131531,Abax (Abax),,Abax (Abax) sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Abax,Abax (Abax),,,,,,,,,,
ABASP1,BEETLE,True,88912,Abaris (Abaridius),,Abaris (Abaridius) sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Abaris,Abaris (Abaridius),,,,,,,,,,
ABASP2,BEETLE,True,75735,Abax,,Abax sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Abax,,,,,,,,,,,
ABASP3,BEETLE,True,75733,Abaris,,Abaris sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Abaris,,,,,,,,,,,
ABASP4,BEETLE,True,97419,Abacetini,soilGreatGroup,Abacetini sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Abacetini,,,,,,,,,,,,,
ABASPL,BEETLE,True,75734,Abaris splendidula,,Abaris splendidula,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Pterostichini,,Abaris,Abaris (Abaridius),,,Abaris splendidula,,,,,,,
ACAADV,BEETLE,True,75738,Acalathus advena,,Acalathus advena,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Sphodrini,,Acalathus,,,,Acalathus advena,,,,,,,
ACUCAN,BEETLE,True,75743,Acupalpus canadensis,,Acupalpus canadensis,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Acupalpus),,,Acupalpus canadensis,,,,,,,
ACUCAR,BEETLE,True,75744,Acupalpus carus,,Acupalpus carus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Acupalpus),,,Acupalpus carus,,,,,,,
ACUHYD,BEETLE,True,75747,Acupalpus hydropicus,,Acupalpus hydropicus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Acupalpus),,,Acupalpus hydropicus,,,,,,,
ACUIND,BEETLE,True,75748,Acupalpus indistinctus,,Acupalpus indistinctus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Tachistodes),,,Acupalpus indistinctus,,,,,,,
ACUMER,BEETLE,True,75755,Acupalpus meridianus,,Acupalpus meridianus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Acupalpus),,,Acupalpus meridianus,,,,,,,
ACUNAN,BEETLE,True,75756,Acupalpus nanellus,,Acupalpus nanellus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Acupalpus),,,Acupalpus nanellus,,,,,,,
ACUPAR,BEETLE,True,75757,Acupalpus partiarius,,Acupalpus partiarius,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Tachistodes),,,Acupalpus partiarius,,,,,,,
ACUPAU,BEETLE,True,75758,Acupalpus pauperculus,,Acupalpus pauperculus,Organism,Animalia,,Arthropoda,,,Insecta,,Coleoptera,,Caraboidea,Carabidae,Harpalinae,Harpalini,,Acupalpus,Acupalpus (Tachistodes),,,Acupalpus pauperculus,,,,,,,
