acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ABAPAR,Insecta,Carabidae,Abax,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Abax parallelepipedus,Piller and Mitterpacher,parallelepipedus,Abax,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Pterostichini,,,ABAPAR,target,BEETLE
ABASP,Insecta,Carabidae,Abax,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Abax (Abax) sp.,Bonelli,sp.,Abax,subgenus,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Pterostichini,,,ABASP,target,BEETLE
ABASP1,Insecta,Carabidae,Abaris,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Abaris (Abaridius) sp.,Chaudoir,sp.,Abaridius,subgenus,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Pterostichini,,,ABASP1,target,BEETLE
ABASP2,Insecta,Carabidae,Abax,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Abax sp.,Bonelli,sp.,,genus,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Pterostichini,,,ABASP2,target,BEETLE
ABASP3,Insecta,Carabidae,Abaris,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Abaris sp.,Dejean,sp.,,genus,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Pterostichini,,,ABASP3,target,BEETLE
ABASP4,Insecta,Carabidae,,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Abacetini sp.,Chaudoir,sp.,,tribe,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Abacetini,,,ABASP4,target,BEETLE
ABASPL,Insecta,Carabidae,Abaris,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Abaris splendidula,LeConte,splendidula,Abaridius,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Pterostichini,,,ABASPL,target,BEETLE
ACUCAN,Insecta,Carabidae,Acupalpus,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Acupalpus canadensis,Casey,canadensis,Acupalpus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACUCAN,target,BEETLE
ACUCAR,Insecta,Carabidae,Acupalpus,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Acupalpus carus,LeConte,carus,Acupalpus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACUCAR,target,BEETLE
ACUHYD,Insecta,Carabidae,Acupalpus,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Acupalpus hydropicus,LeConte,hydropicus,Acupalpus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACUHYD,target,BEETLE
ACUIND,Insecta,Carabidae,Acupalpus,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Acupalpus indistinctus,Dejean,indistinctus,Tachistodes,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACUIND,target,BEETLE
ACULAM,Insecta,Carabidae,Acupalpus,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Coleoptera,Arthropoda,Acupalpus lamprotus,Bates,lamprotus,,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACULAM,target,BEETLE
ACUMER,Insecta,Carabidae,Acupalpus,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Acupalpus meridianus,Linnaeus,meridianus,Acupalpus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACUMER,target,BEETLE
ACUNAN,Insecta,Carabidae,Acupalpus,,Animalia,isbn: 3933896061 9783933896063,"Lorenz, W. 2005. Systematic list of extant ground beetles of the world (Insecta, Coleoptera \Geadephaga\: Trachypachidae and Carabidae incl. Paussinae, Cicindelinae, Rhysodinae). 2nd edition. Lorenz Publishing, Tutzing, Germany.",Coleoptera,Arthropoda,Acupalpus nanellus,Casey,nanellus,Acupalpus,species,,,,,,,,,,,,,Harpalinae,,,,,,,,,,,,,,Harpalini,,,ACUNAN,target,BEETLE
