neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ABDU,BIRD,True,93051,Anas rubripes,,Anas rubripes,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Anas,,,,Anas rubripes,,,,,,,
ABTO,BIRD,True,94503,Melozone aberti,,Melozone aberti,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Emberizidae,,,,Melozone,,,,Melozone aberti,,,,,,,
ACFL,BIRD,True,93884,Empidonax virescens,,Empidonax virescens,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Tyrannidae,,,,Empidonax,,,,Empidonax virescens,,,,,,,
ACWO,BIRD,True,94462,Melanerpes formicivorus,,Melanerpes formicivorus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Piciformes,,,Picidae,,,,Melanerpes,,,,Melanerpes formicivorus,,,,,,,
ADWA,BIRD,True,95349,Setophaga adelaidae,,Setophaga adelaidae,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Parulidae,,,,Setophaga,,,,Setophaga adelaidae,,,,,,,
AFCD,BIRD,True,95478,Streptopelia roseogrisea,,Streptopelia roseogrisea,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Columbiformes,,,Columbidae,,,,Streptopelia,,,,Streptopelia roseogrisea,,,,,,,
AFOW,BIRD,True,95730,Tyto glaucops,,Tyto glaucops,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Strigiformes,,,Tytonidae,,,,Tyto,,,,Tyto glaucops,,,,,,,
AFSI,BIRD,True,93916,Euodice cantans,,Euodice cantans,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Estrildidae,,,,Euodice,,,,Euodice cantans,,,,,,,
AGHE,BIRD,True,92933,Agamia agami,,Agamia agami,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Pelecaniformes,,,Ardeidae,,,,Agamia,,,,Agamia agami,,,,,,,
AGWT,BIRD,True,95974,Anas carolinensis carolinensis,,Anas carolinensis carolinensis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Anas,,,,Anas carolinensis,Anas carolinensis carolinensis,,,,,,
AHJA,BIRD,True,93726,Cyanolyca cucullata,,Cyanolyca cucullata,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Corvidae,,,,Cyanolyca,,,,Cyanolyca cucullata,,,,,,,
AKEK,BIRD,True,94408,Loxops caeruleirostris,,Loxops caeruleirostris,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Loxops,,,,Loxops caeruleirostris,,,,,,,
AKEP,BIRD,True,94409,Loxops coccineus,,Loxops coccineus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Loxops,,,,Loxops coccineus,,,,,,,
AKIA,BIRD,True,94161,Hemignathus wilsoni,,Hemignathus wilsoni,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Hemignathus,,,,Hemignathus wilsoni,,,,,,,
AKIK,BIRD,True,94760,Oreomystis bairdi,,Oreomystis bairdi,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Oreomystis,,,,Oreomystis bairdi,,,,,,,
AKOH,BIRD,True,94816,Palmeria dolei,,Palmeria dolei,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Palmeria,,,,Palmeria dolei,,,,,,,
ALFL,BIRD,True,93873,Empidonax alnorum,,Empidonax alnorum,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Tyrannidae,,,,Empidonax,,,,Empidonax alnorum,,,,,,,
ALHU,BIRD,True,95335,Selasphorus sasin,,Selasphorus sasin,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Trochilidae,,,,Selasphorus,,,,Selasphorus sasin,,,,,,,
ALOR,BIRD,True,94230,Icterus gularis,,Icterus gularis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Icteridae,,,,Icterus,,,,Icterus gularis,,,,,,,
ALSW,BIRD,True,93102,Apus melba,,Apus melba,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Apodiformes,,,Apodidae,,,,Apus,,,,Apus melba,,,,,,,
ALTE,BIRD,True,94751,Onychoprion aleuticus,,Onychoprion aleuticus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Laridae,,,,Onychoprion,,,,Onychoprion aleuticus,,,,,,,
ALYE,BIRD,True,94049,Geothlypis flavovelata,,Geothlypis flavovelata,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Parulidae,,,,Geothlypis,,,,Geothlypis flavovelata,,,,,,,
AMAV,BIRD,True,95255,Recurvirostra americana,,Recurvirostra americana,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Recurvirostridae,,,,Recurvirostra,,,,Recurvirostra americana,,,,,,,
AMBI,BIRD,True,93211,Botaurus lentiginosus,,Botaurus lentiginosus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Pelecaniformes,,,Ardeidae,,,,Botaurus,,,,Botaurus lentiginosus,,,,,,,
AMCO,BIRD,True,94010,Fulica americana,,Fulica americana,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Gruiformes,,,Rallidae,,,,Fulica,,,,Fulica americana,,,,,,,
AMCR,BIRD,True,93656,Corvus brachyrhynchos,,Corvus brachyrhynchos,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Corvidae,,,,Corvus,,,,Corvus brachyrhynchos,,,,,,,
AMDI,BIRD,True,93569,Cinclus mexicanus,,Cinclus mexicanus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Cinclidae,,,,Cinclus,,,,Cinclus mexicanus,,,,,,,
AMFL,BIRD,True,94973,Phoenicopterus ruber,,Phoenicopterus ruber,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Phoenicopteriformes,,,Phoenicopteridae,,,,Phoenicopterus,,,,Phoenicopterus ruber,,,,,,,
AMGO,BIRD,True,95426,Spinus tristis,,Spinus tristis,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Fringillidae,,,,Spinus,,,,Spinus tristis,,,,,,,
AMGP,BIRD,True,95065,Pluvialis dominica,,Pluvialis dominica,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Charadriidae,,,,Pluvialis,,,,Pluvialis dominica,,,,,,,
AMKE,BIRD,True,93964,Falco sparverius,,Falco sparverius,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Falconiformes,,,Falconidae,,,,Falco,,,,Falco sparverius,,,,,,,
AMKI,BIRD,True,93505,Chloroceryle amazona,,Chloroceryle amazona,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Coraciiformes,,,Alcedinidae,,,,Chloroceryle,,,,Chloroceryle amazona,,,,,,,
AMOY,BIRD,True,94125,Haematopus palliatus,,Haematopus palliatus,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Haematopodidae,,,,Haematopus,,,,Haematopus palliatus,,,,,,,
AMPA,BIRD,True,150524,Ammodramus/Passerculus,,Ammodramus/Passerculus sp.,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Emberizidae,,,,,,,,,,,,,,,Ammodramus/Passerculus
AMPI,BIRD,True,93086,Anthus rubescens,,Anthus rubescens,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Motacillidae,,,,Anthus,,,,Anthus rubescens,,,,,,,
AMRE,BIRD,True,95376,Setophaga ruticilla,,Setophaga ruticilla,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Parulidae,,,,Setophaga,,,,Setophaga ruticilla,,,,,,,
AMRO,BIRD,True,95695,Turdus migratorius,,Turdus migratorius,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Turdidae,,,,Turdus,,,,Turdus migratorius,,,,,,,
AMSP,BIRD,True,93021,Ammodramus,,Ammodramus sp.,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Passeriformes,,,Emberizidae,,,,Ammodramus,,,,,,,,,,,
AMWI,BIRD,True,93037,Anas americana,,Anas americana,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Anseriformes,,,Anatidae,,,,Anas,,,,Anas americana,,,,,,,
AMWO,BIRD,True,95321,Scolopax minor,,Scolopax minor,Organism,Animalia,,Chordata,Vertebrata,,Aves,,Charadriiformes,,,Scolopacidae,,,,Scolopax,,,,Scolopax minor,,,,,,,
