acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ACAFLA,Actinopterygii,Gobiidae,Acanthogobius,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Acanthogobius flavimanus,(Temminck & Schlegel),flavimanus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAFLA,target,FISH
ACAPOM,Actinopterygii,Centrarchidae,Acantharchus,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Perciformes,Chordata,Acantharchus pomotis,(Baird),pomotis,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACAPOM,target,FISH
ACASP,Actinopterygii,Centrarchidae,Acantharchus,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168094 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=168094, accessed 31 Aug 2017",Perciformes,Chordata,Acantharchus sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACASP,target,FISH
ACASP1,Actinopterygii,Gobiidae,Acanthogobius,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881, accessed 31 Aug 2017",Perciformes,Chordata,Acanthogobius sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACASP1,target,FISH
ACASPP1,Actinopterygii,Gobiidae,Acanthogobius,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=171881, accessed 31 Aug 2017",Perciformes,Chordata,Acanthogobius spp.,,spp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACASPP1,target,FISH
ACHSP,Actinopterygii,Achiridae,,,Animalia,http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=202070 (accessed 08/31/2017),"The Integrated Taxonomic Information System on-line database http://www.itis.gov/ITISWebService/services/ITISService/getFullRecordFromTSN?tsn=202070, accessed 31 Aug 2017",Pleuronectiformes,Chordata,Achiridae sp.,,sp.,,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACHSP,target,FISH
ACIBRE,Actinopterygii,Acipenseridae,Acipenser,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Acipenseriformes,Chordata,Acipenser brevirostrum,Lesueur,brevirostrum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACIBRE,target,FISH
ACIFUL,Actinopterygii,Acipenseridae,Acipenser,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Acipenseriformes,Chordata,Acipenser fulvescens,Rafinesque,fulvescens,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACIFUL,target,FISH
ACIMED,Actinopterygii,Acipenseridae,Acipenser,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Acipenseriformes,Chordata,Acipenser medirostris,Ayres,medirostris,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACIMED,target,FISH
ACIOXY,Actinopterygii,Acipenseridae,Acipenser,,Animalia,http://www.fishbase.org (accessed Oct 2016),"Froese, R. and D. Pauly. Editors. 2016. FishBase.World Wide Web electronic publication. www.fishbase.org (10/2016)",Acipenseriformes,Chordata,Acipenser oxyrinchus,Mitchill,oxyrinchus,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACIOXY,target,FISH
