neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ACRBLA,HERPETOLOGY,True,79654,Acris blanchardi,,Acris blanchardi,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,Acris blanchardi,,,,,,,
ACRCRE,HERPETOLOGY,True,79655,Acris crepitans,,Acris crepitans,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,Acris crepitans,,,,,,,
ACRCRE2,HERPETOLOGY,True,88413,Acris crepitans crepitans,,Acris crepitans crepitans,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,Acris crepitans,Acris crepitans crepitans,,,,,,
ACRGRY,HERPETOLOGY,True,79656,Acris gryllus,,Acris gryllus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,Acris gryllus,,,,,,,
ACRGRY2,HERPETOLOGY,True,88414,Acris gryllus dorsalis,,Acris gryllus dorsalis,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,Acris gryllus,Acris gryllus dorsalis,,,,,,
ACRGRY3,HERPETOLOGY,True,88415,Acris gryllus gryllus,,Acris gryllus gryllus,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,Acris gryllus,Acris gryllus gryllus,,,,,,
ACRISP,HERPETOLOGY,True,79653,Acris,,Acris sp.,Organism,Animalia,,Chordata,Vertebrata,,Amphibia,,Anura,,,Hylidae,,,,Acris,,,,,,,,,,,
ACRJAV,HERPETOLOGY,True,79659,Acrochordus javanicus,,Acrochordus javanicus,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Acrochordidae,,,,Acrochordus,,,,Acrochordus javanicus,,,,,,,
ACROSP,HERPETOLOGY,True,79657,Acrochordidae,Class,Acrochordidae sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Acrochordidae,,,,,,,,,,,,,,,
ACROSP1,HERPETOLOGY,True,79658,Acrochordus,,Acrochordus sp.,Organism,Animalia,,Chordata,Vertebrata,,Reptilia,,Squamata,,,Acrochordidae,,,,Acrochordus,,,,,,,,,,,
