acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
ACRBLA,Amphibia,Hylidae,Acris,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Acris blanchardi,Harper,blanchardi,,species,Blanchards Cricket Frog,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRBLA,vertebrateBycatch,HERPETOLOGY
ACRCRE,Amphibia,Hylidae,Acris,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Acris crepitans,Baird,crepitans,,species,Northern Cricket Frog,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRCRE,vertebrateBycatch,HERPETOLOGY
ACRCRE2,Amphibia,Hylidae,Acris,crepitans,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Acris crepitans crepitans,Baird,crepitans,,subspecies,Eastern Cricket Frog,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRCRE2,vertebrateBycatch,HERPETOLOGY
ACRGRY,Amphibia,Hylidae,Acris,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Acris gryllus,LeConte,gryllus,,species,Southern Cricket Frog,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRGRY,vertebrateBycatch,HERPETOLOGY
ACRGRY2,Amphibia,Hylidae,Acris,dorsalis,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Acris gryllus dorsalis,Harlan,gryllus,,subspecies,Florida Cricket Frog,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRGRY2,vertebrateBycatch,HERPETOLOGY
ACRGRY3,Amphibia,Hylidae,Acris,gryllus,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Anura,Chordata,Acris gryllus gryllus,LeConte,gryllus,,subspecies,Coastal Plain Cricket Frog,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRGRY3,vertebrateBycatch,HERPETOLOGY
ACRISP,Amphibia,Hylidae,Acris,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Anura,Chordata,Acris sp.,,sp.,,genus,,,,,,,,,,,,,Hylinae,,,,,,,,,,,,,,,,,ACRISP,vertebrateBycatch,HERPETOLOGY
ACRJAV,Reptilia,Acrochordidae,Acrochordus,,Animalia,isbn: 9780916984854,"Crother, B. I., J. Boundy, F. T. Burbrink, J. A. Campbell, K. De Queiroz, D. R. Frost, D. M. Green, R. Highton, J. B. Iverson, F. Kraus, R. W. Mcdiarmid, J. R. Mendelson III, P. A. Meylan, R. A. Pyron, T. W. Reeder, M. E. Seidel, S. G. Tilley, D. B. Wake, and V. Street. 2012. Scientific and standard english names of amphibians and reptiles of North America north of Mexico, with comments regarding confidence in our understanding. 7th ed. Society for the Study of Amphibians and Reptiles.",Squamata,Chordata,Acrochordus javanicus,Hornstedt,javanicus,,species,Javanese File Snake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACRJAV,vertebrateBycatch,HERPETOLOGY
ACROSP,Reptilia,Acrochordidae,,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Squamata,Chordata,Acrochordidae sp.,Bonaparte,sp.,,family,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSP,vertebrateBycatch,HERPETOLOGY
ACROSP1,Reptilia,Acrochordidae,Acrochordus,,Animalia,http://www.itis.gov (accessed 10/07/2014),"The Integrated Taxonomic Information System on-line database, http://www.itis.gov, accessed Oct 7, 2014",Squamata,Chordata,Acrochordus sp.,,sp.,,genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACROSP1,vertebrateBycatch,HERPETOLOGY
