neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
AAGSP,MACROINVERTEBRATE,True,97421,Aagaardia,,Aagaardia sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Aagaardia,,,,,,,,,,,
ABAPAC,MACROINVERTEBRATE,True,97424,Abarenicola pacifica,,Abarenicola pacifica,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,,,,Arenicolidae,,,,Abarenicola,,,,Abarenicola pacifica,,,,,,,
ABASP,MACROINVERTEBRATE,True,97423,Abarenicola,,Abarenicola sp.,Organism,Chromista,,Gyrista,Ochrophytina,,Bacillariophyceae,,,,,Arenicolidae,,,,Abarenicola,,,,,,,,,,,
ABEBRE,MACROINVERTEBRATE,True,132199,Abedus breviceps,,Abedus breviceps,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Abedus (Abedus),,,Abedus breviceps,,,,,,,
ABEHER,MACROINVERTEBRATE,True,132201,Abedus herberti,,Abedus herberti,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Deinostoma (Deinostoma),,,Abedus herberti,,,,,,,
ABEIMM,MACROINVERTEBRATE,True,132203,Abedus immaculatus,,Abedus immaculatus,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Microabedus (Microabedus),,,Abedus immaculatus,,,,,,,
ABEIND,MACROINVERTEBRATE,True,132204,Abedus indentatus,,Abedus indentatus,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Deinostoma (Deinostoma),,,Abedus indentatus,,,,,,,
ABEOVA,MACROINVERTEBRATE,True,132205,Abedus ovatus,,Abedus ovatus,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Abedus (Abedus),,,Abedus ovatus,,,,,,,
ABEPAR,MACROINVERTEBRATE,True,132206,Abedus parkeri,,Abedus parkeri,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Abedus (Abedus),,,Abedus parkeri,,,,,,,
ABESP,MACROINVERTEBRATE,True,86241,Abedus,,Abedus sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,,,,,,,,,,,
ABEVIC,MACROINVERTEBRATE,True,132208,Abedus vicinus,,Abedus vicinus,Organism,Animalia,,Arthropoda,,,Insecta,,Hemiptera,,Nepoidea,Belostomatidae,,,,Abedus,Pseudoabedus (Pseudoabedus),,,Abedus vicinus,,,,,,,
ABISP,MACROINVERTEBRATE,True,97425,Abiskomyia,,Abiskomyia sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Abiskomyia,,,,,,,,,,,
ABLANN,MACROINVERTEBRATE,True,97427,Ablabesmyia annulata,,Ablabesmyia annulata,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia annulata,,,,,,,
ABLASP,MACROINVERTEBRATE,True,97428,Ablabesmyia aspera,,Ablabesmyia aspera,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia aspera,,,,,,,
ABLAUR,MACROINVERTEBRATE,True,97429,Ablabesmyia aurea,,Ablabesmyia aurea,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia aurea,,,,,,,
ABLBAS,MACROINVERTEBRATE,True,132210,Ablabesmyia basalis,,Ablabesmyia basalis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,Ablabesmyia (Ablabesmyia),,,Ablabesmyia basalis,,,,,,,
ABLCIN,MACROINVERTEBRATE,True,97430,Ablabesmyia cinctipes,,Ablabesmyia cinctipes,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia cinctipes,,,,,,,
ABLDIC,MACROINVERTEBRATE,True,97445,Ableptemetes dicinctus,,Ableptemetes dicinctus,Organism,Animalia,,Arthropoda,,,Insecta,,Ephemeroptera,,Ephemerelloidea,Leptohyphidae,,,,Ableptemetes,,,,Ableptemetes dicinctus,,,,,,,
ABLHAU,MACROINVERTEBRATE,True,97431,Ablabesmyia hauberi,,Ablabesmyia hauberi,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia hauberi,,,,,,,
ABLIDE,MACROINVERTEBRATE,True,97432,Ablabesmyia idei,,Ablabesmyia idei,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia idei,,,,,,,
ABLILL,MACROINVERTEBRATE,True,97433,Ablabesmyia illinoensis,,Ablabesmyia illinoensis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia illinoensis,,,,,,,
ABLJAN,MACROINVERTEBRATE,True,97434,Ablabesmyia janta,,Ablabesmyia janta,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia janta,,,,,,,
ABLKAR,MACROINVERTEBRATE,True,132173,Ablabesmyia (Karelia),,Ablabesmyia (Karelia) sp.,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,Ablabesmyia (Karelia),,,,,,,,,,
ABLMAL,MACROINVERTEBRATE,True,97435,Ablabesmyia mallochi,,Ablabesmyia mallochi,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Chironomidae,,,,Ablabesmyia,,,,Ablabesmyia mallochi,,,,,,,
