neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
AEDABO,MOSQUITO,True,80800,Aedes aboriginis,,Aedes aboriginis,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aboriginis,,,,,,,
AEDABS,MOSQUITO,True,80801,Aedes abserratus,,Aedes abserratus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes abserratus,,,,,,,
AEDAEG,MOSQUITO,True,80804,Aedes aegypti,,Aedes aegypti,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aegypti,,,,,,,
AEDAEG1,MOSQUITO,True,141802,Aedes aegypti aegypti,,Aedes aegypti aegypti,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aegypti,Aedes aegypti aegypti,,,,,,
AEDAEG2,MOSQUITO,True,145774,Aedes aegypti formosus,,Aedes aegypti formosus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aegypti,Aedes aegypti formosus,,,,,,
AEDALB,MOSQUITO,True,80810,Aedes albopictus,,Aedes albopictus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes albopictus,,,,,,,
AEDALO,MOSQUITO,True,80815,Aedes aloponotum,,Aedes aloponotum,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes aloponotum,,,,,,,
AEDATA,MOSQUITO,True,132977,Aedes atactavittatus,,Aedes atactavittatus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,Aedes (Ochlerotatus),,,Aedes atactavittatus,,,,,,,
AEDATL,MOSQUITO,True,80819,Aedes atlanticus,,Aedes atlanticus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes atlanticus,,,,,,,
AEDATR,MOSQUITO,True,80820,Aedes atropalpus,,Aedes atropalpus,Organism,Animalia,,Arthropoda,,,Insecta,,Diptera,,,Culicidae,,,,Aedes,,,,Aedes atropalpus,,,,,,,
