acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
AEDABO,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aboriginis,"Dyar, 1917",aboriginis,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDABO,target,MOSQUITO
AEDABS,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes abserratus,"(Felt and Young, 1904)",abserratus,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDABS,target,MOSQUITO
AEDAEG,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aegypti,"(Linnaeus, 1762)",aegypti,Stegomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAEG,target,MOSQUITO
AEDAEG1,Insecta,Culicidae,Aedes,aegypti,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aegypti aegypti,"(Linnaeus, 1762)",aegypti,Stegomyia,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAEG1,target,MOSQUITO
AEDAEG2,Insecta,Culicidae,Aedes,formosus,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aegypti formosus,"(Walker, 1848)",aegypti,Stegomyia,subspecies,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAEG2,target,MOSQUITO
AEDALB,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes albopictus,"(Skuse, 1895)",albopictus,Stegomyia,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDALB,target,MOSQUITO
AEDALO,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes aloponotum,"Dyar, 1917",aloponotum,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDALO,target,MOSQUITO
AEDAMA,Insecta,Culicidae,Aedes,,Animalia,https:// doi.org/10.1371/journal.pone.0217694,"Ortega-Morales, A.I., T.J. Zavortink, J.A. Garza-Hernandez, Q.K. Siller-Rodriguez, I. Fernandez-Salas. 2019. The mosquitoes (Diptera:Culicidae) of Nuevo Leon, Mexico, with descriptions of two new spcies. PLoS ONE 14(8) e0217694.",Diptera,Arthropoda,Aedes amateuri,Ortega and Zavortink,amateuri,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDAMA,target,MOSQUITO
AEDATA,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes atactavittatus,"Arnell, 1976",atactavittatus,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDATA,target,MOSQUITO
AEDATL,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes atlanticus,"Dyar and Knab, 1906",atlanticus,Ochlerotatus,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDATL,target,MOSQUITO
AEDATR,Insecta,Culicidae,Aedes,,Animalia,isbn: 9781421438146,"Wilkerson, R. C., Linton, Y.-M. and Strickman, D. 2021. Mosquitoes of the World. John Hopkins University Press, Baltimore.",Diptera,Arthropoda,Aedes atropalpus,"(Coquillett, 1902)",atropalpus,Georgecraigius,species,,,,,,,,,,,,,Culicinae,,,,,,,,,,,,,,Aedini,,,AEDATR,target,MOSQUITO
