neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
ALPHV,MOSQUITO_PATHOGENS,True,139846,Alphavirus,,Alphavirus sp.,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,,,,,,,,
BUNV,MOSQUITO_PATHOGENS,True,150563,Bunyaviridae,Class,Bunyaviridae,Organism,Orthornavirae,,,,,,,,,,Bunyaviridae,,,,,,,,,,,,,,,
BUNV1,MOSQUITO_PATHOGENS,True,139868,Orthobunyavirus,,Orthobunyavirus sp.,Organism,Orthornavirae,,Negarnaviricota,Polyploviricotina,,Ellioviricetes,,Bunyavirales,,,Peribunyaviridae,,,,Orthobunyavirus,,,,,,,,,,,
CEV,MOSQUITO_PATHOGENS,True,150558,California encephalitis virus,,California encephalitis virus,Organism,Orthornavirae,,Negarnaviricota,Polyploviricotina,,Ellioviricetes,,Bunyavirales,,,Peribunyaviridae,,,,Orthobunyavirus,,,,California encephalitis virus,,,,,,,
CHIKV,MOSQUITO_PATHOGENS,True,139847,Chikungunya virus,,Chikungunya virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Chikungunya virus,,,,,,,
EEEV,MOSQUITO_PATHOGENS,True,139856,Eastern equine encephalitis virus,,Eastern equine encephalitis virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Eastern equine encephalitis virus,,,,,,,
EVEV,MOSQUITO_PATHOGENS,True,139857,Everglades virus,,Everglades virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Everglades virus,,,,,,,
FLAV,MOSQUITO_PATHOGENS,True,139850,Flaviviridae,Class,Flaviviridae,Organism,Orthornavirae,,Kitrinoviricota,,,Flasuviricetes,,Amarillovirales,,,Flaviviridae,,,,,,,,,,,,,,,
HJV,MOSQUITO_PATHOGENS,True,139859,Highlands J virus,,Highlands J virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Highlands J virus,,,,,,,
LACV,MOSQUITO_PATHOGENS,True,150559,La Crosse virus,,La Crosse virus,Organism,Orthornavirae,,Negarnaviricota,Polyploviricotina,,Ellioviricetes,,Bunyavirales,,,Peribunyaviridae,,,,Orthobunyavirus,,,,La Crosse virus,,,,,,,
MAYV,MOSQUITO_PATHOGENS,True,139862,Mayaro virus,,Mayaro virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Mayaro virus,,,,,,,
MDV,MOSQUITO_PATHOGENS,True,150560,Main Drain virus,,Main Drain virus,Organism,Orthornavirae,,Negarnaviricota,Polyploviricotina,,Ellioviricetes,,Bunyavirales,,,Peribunyaviridae,,,,Orthobunyavirus,,,,Main Drain virus,,,,,,,
OROV,MOSQUITO_PATHOGENS,True,150562,Oropouche virus,,Oropouche virus,Organism,Orthornavirae,,Negarnaviricota,Polyploviricotina,,Ellioviricetes,,Bunyavirales,,,Peribunyaviridae,,,,Orthobunyavirus,,,,Oropouche virus,,,,,,,
RRV,MOSQUITO_PATHOGENS,True,139869,Ross River virus,,Ross River virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Ross River virus,,,,,,,
SINV,MOSQUITO_PATHOGENS,True,139870,Sindbis virus,,Sindbis virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Sindbis virus,,,,,,,
SLEV,MOSQUITO_PATHOGENS,True,150557,St. Louis encephalitis virus,,St. Louis encephalitis virus,Organism,Orthornavirae,,Kitrinoviricota,,,Flasuviricetes,,Amarillovirales,,,Flaviviridae,,,,Flavivirus,,,,St. Louis encephalitis virus,,,,,,,
TOGV,MOSQUITO_PATHOGENS,True,139845,Togaviridae,Class,Togaviridae,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,,,,,,,,,,,,
UNV,MOSQUITO_PATHOGENS,True,139871,Una virus,,Una virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Una virus,,,,,,,
VEEV,MOSQUITO_PATHOGENS,True,139872,Venezuelan equine encephalitis virus,,Venezuelan equine encephalitis virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Venezuelan equine encephalitis virus,,,,,,,
WEEV,MOSQUITO_PATHOGENS,True,139875,Western equine encephalitis virus,,Western equine encephalitis virus,Organism,Orthornavirae,,Kitrinoviricota,,,Alsuviricetes,,Martellivirales,,,Togaviridae,,,,Alphavirus,,,,Western equine encephalitis virus,,,,,,,
