neon_taxonID,neon_lookup_group,is_biorepo_mapped,biorepo_tid,scientificName_biorepo,taxonRank_biorepo,verbatimScientificName_biorepo_map,biorepo_organism,biorepo_kingdom,biorepo_subkingdom,biorepo_division,biorepo_subdivision,biorepo_superclass,biorepo_class,biorepo_subclass,biorepo_order,biorepo_suborder,biorepo_superfamily,biorepo_family,biorepo_subfamily,biorepo_tribe,biorepo_subtribe,biorepo_genus,biorepo_subgenus,biorepo_section,biorepo_subsection,biorepo_species,biorepo_subspecies,biorepo_variety,biorepo_subvariety,biorepo_form,biorepo_subform,biorepo_cultivated,biorepo_complex/group
AMBAME,TICK,True,86328,Amblyomma americanum,,Amblyomma americanum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma americanum,,,,,,,
AMBAUR,TICK,True,132317,Amblyomma auricularium,,Amblyomma auricularium,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma auricularium,,,,,,,
AMBCAJ,TICK,True,98093,Amblyomma cajennense,,Amblyomma cajennense,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma cajennense,,,,,,,
AMBCRU,TICK,True,132326,Amblyomma cruciferum,,Amblyomma cruciferum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma cruciferum,,,,,,,
AMBDIS,TICK,True,132319,Amblyomma dissimile,,Amblyomma dissimile,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma dissimile,,,,,,,
AMBELA,TICK,True,132328,Amblyomma elaphense,,Amblyomma elaphense,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma elaphense,,,,,,,
AMBGOE,TICK,True,132333,Amblyomma goeldii,,Amblyomma goeldii,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma goeldii,,,,,,,
AMBIMI,TICK,True,132322,Amblyomma imitator,,Amblyomma imitator,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma imitator,,,,,,,
AMBINO,TICK,True,132335,Amblyomma inornatum,,Amblyomma inornatum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma inornatum,,,,,,,
AMBMAC,TICK,True,127945,Amblyomma maculatum,,Amblyomma maculatum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma maculatum,,,,,,,
AMBPSE,TICK,True,132339,Amblyomma pseudoconcolor,,Amblyomma pseudoconcolor,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma pseudoconcolor,,,,,,,
AMBQUA,TICK,True,132315,Amblyomma quadricavum,,Amblyomma quadricavum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma quadricavum,,,,,,,
AMBROT,TICK,True,132313,Amblyomma rotundatum,,Amblyomma rotundatum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma rotundatum,,,,,,,
AMBSP,TICK,True,86327,Amblyomma,,Amblyomma sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,,,,,,,,
AMBTUB,TICK,True,132344,Amblyomma tuberculatum,,Amblyomma tuberculatum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma tuberculatum,,,,,,,
AMBVAR,TICK,True,132218,Amblyomma variegatum,,Amblyomma variegatum,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Ixodidae,,,,Amblyomma,,,,Amblyomma variegatum,,,,,,,
ARGMIN,TICK,True,132503,Argas miniatus,,Argas miniatus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Argas,,,,Argas miniatus,,,,,,,
ARGREF,TICK,True,98731,Argas reflexus,,Argas reflexus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Argas,,,,Argas reflexus,,,,,,,
ARGSP,TICK,True,98728,Argasidae,Class,Argasidae sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,,,,,,,,,,,,
ARGSP1,TICK,True,98729,Argas,,Argas sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Argas,,,,,,,,,,,
CARCON,TICK,True,132275,Carios concanensis,,Carios concanensis,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Carios,,,,Carios concanensis,,,,,,,
CARDYE,TICK,True,99941,Carios dyeri,,Carios dyeri,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Carios,,,,Carios dyeri,,,,,,,
CARKEL,TICK,True,99942,Carios kelleyi,,Carios kelleyi,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Carios,,,,Carios kelleyi,,,,,,,
CARMAR,TICK,True,132427,Carios marginatus,,Carios marginatus,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Carios,,,,Carios marginatus,,,,,,,
CARPUE,TICK,True,132283,Carios puertoricensis,,Carios puertoricensis,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Carios,,,,Carios puertoricensis,,,,,,,
CARSP,TICK,True,99940,Carios,,Carios sp.,Organism,Animalia,,Arthropoda,,,Arachnida,,Ixodida,,,Argasidae,,,,Carios,,,,,,,,,,,
