acceptedTaxonID,dwc:class,dwc:family,dwc:genus,dwc:infraspecificEpithet,dwc:kingdom,dwc:nameAccordingToID,dwc:nameAccordingToTitle,dwc:order,dwc:phylum,dwc:scientificName,dwc:scientificNameAuthorship,dwc:specificEpithet,dwc:subgenus,dwc:taxonRank,dwc:vernacularName,gbif:division,gbif:form,gbif:infraclass,gbif:infradivision,gbif:infrakingdom,gbif:infraorder,gbif:infraphylum,gbif:parvdivision,gbif:section,gbif:subclass,gbif:subdivision,gbif:subfamily,gbif:subform,gbif:subkingdom,gbif:suborder,gbif:subphylum,gbif:subsection,gbif:subspecies,gbif:subtribe,gbif:subvariety,gbif:superclass,gbif:superdivision,gbif:superfamily,gbif:superorder,gbif:superphylum,gbif:tribe,gbif:variety,speciesGroup,taxonID,taxonProtocolCategory,taxonTypeCode
AMBAME,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=2e0eef6b7528f68eec2881c33ca96d53&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=2e0eef6b7528f68eec2881c33ca96d53&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma americanum,Linnaeus,americanum,,species,Lone Star tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBAME,target,TICK
AMBAUR,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=4c998d226110b9a5ea382dbce8c957c7&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=4c998d226110b9a5ea382dbce8c957c7&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma auricularium,Conil,auricularium,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBAUR,target,TICK
AMBCAJ,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=6a87ab39f574aeb4a929ef1cd7a9055b&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=6a87ab39f574aeb4a929ef1cd7a9055b&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma cajennense,Fabricius,cajennense,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBCAJ,target,TICK
AMBCRU,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=9f684abbae78aa340fafc2c859dd0250&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=9f684abbae78aa340fafc2c859dd0250&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma cruciferum,Neumann,cruciferum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBCRU,target,TICK
AMBDIS,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=fc74a2896be627ef55822e5fdb5fc011&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=fc74a2896be627ef55822e5fdb5fc011&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma dissimile,Koch,dissimile,,species,Carrapato da iguana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBDIS,target,TICK
AMBELA,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=2057fe9cea8a16151c08925fb958a991&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=2057fe9cea8a16151c08925fb958a991&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma elaphense,Price,elaphense,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBELA,target,TICK
AMBIMI,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=7bfdf66342f2a8accf8ff9cf94d11eb7&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=7bfdf66342f2a8accf8ff9cf94d11eb7&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma imitator,Kohls,imitator,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBIMI,target,TICK
AMBINO,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=ba2c05b6f47aa217629a4bea31e1e604&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=ba2c05b6f47aa217629a4bea31e1e604&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma inornatum,Banks,inornatum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBINO,target,TICK
AMBMAC,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=0bc0654d49e1bc7a3713e271bc77789b&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=0bc0654d49e1bc7a3713e271bc77789b&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma maculatum,Koch,maculatum,,species,Gulf Coast tick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBMAC,target,TICK
AMBQUA,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=b4e6cbb9abbed1c627af6dd45bc90e9f&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=b4e6cbb9abbed1c627af6dd45bc90e9f&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma quadricavum,Schulze,quadricavum,,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBQUA,target,TICK
AMBROT,Arachnida,Ixodidae,Amblyomma,,Animalia,http://www.catalogueoflife.org/col/webservice?id=8bd8b1ca4ec6f7fbce5dee5651057077&response=full (accessed 07/20/2016),"The Catalogue of Life on-line database, http://www.catalogueoflife.org/col/webservice?id=8bd8b1ca4ec6f7fbce5dee5651057077&response=full, accessed Jul 20, 2016.",Ixodida,Arthropoda,Amblyomma rotundatum,Koch,rotundatum,,species,Carrapato do sapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMBROT,target,TICK
