('class', 'bacillariophyceae', 'genus', 'himantidium')
('class', 'bacillariophyceae', 'order', 'achnanthales')
('class', 'bacillariophyceae', 'order', 'bacillariales')
('class', 'bacillariophyceae', 'order', 'centrales')
('class', 'bacillariophyceae', 'order', 'cymbellales')
('class', 'bacillariophyceae', 'order', 'fragilariales')
('class', 'bacillariophyceae', 'order', 'naviculales')
('class', 'bacillariophyceae', 'order', 'pennales')
('class', 'charophyceae', 'order', 'charales')
('class', 'chlorophyceae', 'order', 'chaetophorales')
('class', 'chlorophyceae', 'order', 'chlamydomonadales')
('class', 'chlorophyceae', 'order', 'chlorellales')
('class', 'chlorophyceae', 'order', 'chlorococcales')
('class', 'chlorophyceae', 'order', 'cladophorales')
('class', 'chlorophyceae', 'order', 'cylindrocapsales')
('class', 'chlorophyceae', 'order', 'desmidiales')
('class', 'chlorophyceae', 'order', 'microsporales')
('class', 'chlorophyceae', 'order', 'oedogoniales')
('class', 'chlorophyceae', 'order', 'prasiolales')
('class', 'chlorophyceae', 'order', 'sphaeropleales')
('class', 'chlorophyceae', 'order', 'tetrasporales')
('class', 'chlorophyceae', 'order', 'ulotrichales')
('class', 'chlorophyceae', 'order', 'ulvales')
('class', 'chlorophyceae', 'order', 'volvocales')
('class', 'chlorophyceae', 'order', 'zygnematales')
('class', 'chrysophyceae', 'order', 'chromulinales')
('class', 'chrysophyceae', 'order', 'dictyochales')
('class', 'chrysophyceae', 'order', 'hibberdiales')
('class', 'chrysophyceae', 'order', 'hydrurales')
('class', 'coscinodiscophyceae', 'order', 'thalassiosirales')
('class', 'cryptophyceae', 'order', 'cryptomonadales')
('class', 'cryptophyceae', 'order', 'pyrenomonadales')
('class', 'cyanophyceae', 'order', 'chroococcidiopsidales')
('class', 'cyanophyceae', 'order', 'nostocales')
('class', 'dictyochophyceae', 'order', 'pedinellales')
('class', 'dinophyceae', 'order', 'blastodiniales')
('class', 'dinophyceae', 'order', 'gymnodiniales')
('class', 'dinophyceae', 'order', 'peridiniales')
('class', 'dinophyceae', 'order', 'phytodiniales')
('class', 'euglenophyceae', 'order', 'euglenales')
('class', 'eustigmatophyceae', 'order', 'eustigmatales')
('class', 'eustigmatophyceae', 'order', 'goniochloridales')
('class', 'florideophyceae', 'order', 'acrochaetiaceae')
('class', 'florideophyceae', 'order', 'acrochaetiales')
('class', 'imbricatea', 'family', 'spongomonadidae')
('class', 'imbricatea', 'order', 'spongomonadida')
('class', 'myxophyceae', 'genus', 'cuspidothrix')
('class', 'myxophyceae', 'order', 'chroococcales')
('class', 'myxophyceae', 'order', 'nostocales')
('class', 'myxophyceae', 'order', 'oscillatoriales')
('class', 'myxophyceae', 'order', 'stigonematales')
('class', 'pedinophyceae', 'order', 'scourfieldiales')
('class', 'phaeophyceae', 'order', 'ectocarpales')
('class', 'phaeothamniophyceae', 'order', 'phaeothamniales')
('class', 'prymnesiophyceae', 'order', 'prymnesiales')
('class', 'raphidophyceae', 'order', 'chattonellales')
('class', 'raphidophyceae', 'order', 'raphidmonadales')
('class', 'rhodophyceae', 'order', 'bangiales')
('class', 'rhodophyceae', 'order', 'batrachospermales')
('class', 'rhodophyceae', 'order', 'compsopogonales')
('class', 'synurophyceae', 'order', 'synurales')
('class', 'tribophyceae', 'order', 'mischococcales')
('class', 'tribophyceae', 'order', 'rhizochloridales')
('class', 'tribophyceae', 'order', 'tribonematales')
('class', 'tribophyceae', 'order', 'vaucheriales')
('family', 'achnanthaceae', 'genus', 'achnanthes')
('family', 'achnanthaceae', 'genus', 'berkeleya')
('family', 'achnanthaceae', 'genus', 'cocconeis')
('family', 'achnanthaceae', 'genus', 'delphineis')
('family', 'achnanthaceae', 'genus', 'karayevia')
('family', 'achnanthaceae', 'genus', 'lemnicola')
('family', 'achnanthaceae', 'genus', 'planothidium')
('family', 'achnanthaceae', 'genus', 'platessa')
('family', 'achnanthaceae', 'genus', 'psammothidium')
('family', 'achnanthaceae', 'genus', 'rossithidium')
('family', 'achnanthidiaceae', 'genus', 'achnanthidium')
('family', 'achnanthidiaceae', 'genus', 'eucocconeis')
('family', 'achnanthidiaceae', 'genus', 'skabitschewskia')
('family', 'acrochaetiaceae', 'genus', 'audouinella')
('family', 'amphipleuraceae', 'genus', 'amphipleura')
('family', 'amphipleuraceae', 'genus', 'frustulia')
('family', 'anomoeoneidaceae', 'genus', 'anomoeoneis')
('family', 'anomoeoneidaceae', 'genus', 'staurophora')
('family', 'aphanothecaceae', 'genus', 'gloeothece')
('family', 'aphanothecaceae', 'genus', 'myxobaktron')
('family', 'aulacoseiraceae', 'genus', 'aulacoseira')
('family', 'bacillariaceae', 'genus', 'bacillaria')
('family', 'bacillariaceae', 'genus', 'cylindrotheca')
('family', 'bacillariaceae', 'genus', 'cymbellonitzschia')
('family', 'bacillariaceae', 'genus', 'denticula')
('family', 'bacillariaceae', 'genus', 'gomphonitzschia')
('family', 'bacillariaceae', 'genus', 'grunowia')
('family', 'bacillariaceae', 'genus', 'hantzschia')
('family', 'bacillariaceae', 'genus', 'nitzschia')
('family', 'bacillariaceae', 'genus', 'psammodictyon')
('family', 'bacillariaceae', 'genus', 'simonsenia')
('family', 'bacillariaceae', 'genus', 'tryblionella')
('family', 'bangiaceae', 'genus', 'bangia')
('family', 'batrachospermaceae', 'genus', 'batrachospermum')
('family', 'batrachospermaceae', 'genus', 'tuomeya')
('family', 'berkeleyaceae', 'genus', 'parlibellus')
('family', 'biddulphiaceae', 'genus', 'biddulphia')
('family', 'biddulphiaceae', 'genus', 'cymatosira')
('family', 'biddulphiaceae', 'genus', 'eunotogramma')
('family', 'biddulphiaceae', 'genus', 'hydrosera')
('family', 'biddulphiaceae', 'genus', 'terpsinoe')
('family', 'borziaceae', 'genus', 'borzia')
