('family', 'carabidae', 'genus', 'acalathus')
('family', 'carabidae', 'genus', 'calopachys')
('family', 'carabidae', 'genus', 'cosnania')
('family', 'carabidae', 'genus', 'loxandrus')
('family', 'carabidae', 'genus', 'stolonis')
('genus', 'acalathus', 'species', 'acalathus advena')
('genus', 'agonum', 'species', 'agonum ericeti')
('genus', 'agonum', 'species', 'agonum variolatum')
('genus', 'apenes', 'species', 'apenes pallipes')
('genus', 'asaphidion', 'species', 'asaphidion flavipes')
('genus', 'axinopalpus', 'species', 'axinopalpus californicus')
('genus', 'bembidion', 'species', 'bembidion blackburni')
('genus', 'bembidion', 'species', 'bembidion colvillense')
('genus', 'bembidion', 'species', 'bembidion ephippiger')
('genus', 'bembidion', 'species', 'bembidion flavopictum')
('genus', 'bembidion', 'species', 'bembidion marinianum')
('genus', 'bembidion', 'species', 'bembidion politum')
('genus', 'bembidion', 'species', 'bembidion utahense')
('genus', 'bembidion', 'species', 'bembidion vespertinum')
('genus', 'calopachys', 'species', 'calopachys blaptoides')
('genus', 'calosoma', 'species', 'calosoma sponsum')
('genus', 'chlaenius', 'species', 'chlaenius cursor')
('genus', 'clivina', 'species', 'clivina floridae')
('genus', 'cosnania', 'species', 'cosnania lengi')
('genus', 'cosnania', 'species', 'cosnania lioptera')
('genus', 'cosnania', 'species', 'cosnania pensylvanica')
('genus', 'cosnania', 'species', 'cosnania picta')
('genus', 'dicheirus', 'species', 'dicheirus pilosus')
('genus', 'dyschirius', 'species', 'dyschirius filiformis')
('genus', 'dyschirius', 'species', 'dyschirius integer')
('genus', 'elaphropus', 'species', 'elaphropus levipes')
('genus', 'harpalus', 'species', 'harpalus tadorcus')
('genus', 'lionepha', 'species', 'lionepha chintimini')
('genus', 'lionepha', 'species', 'lionepha lindrothellus')
('genus', 'lionepha', 'species', 'lionepha lummi')
('genus', 'loxandrus', 'species', 'loxandrus accelerans')
('genus', 'loxandrus', 'species', 'loxandrus agilis')
('genus', 'loxandrus', 'species', 'loxandrus algidus')
('genus', 'loxandrus', 'species', 'loxandrus brevicollis')
('genus', 'loxandrus', 'species', 'loxandrus celer')
('genus', 'loxandrus', 'species', 'loxandrus cervicalis')
('genus', 'loxandrus', 'species', 'loxandrus cincinnati')
('genus', 'loxandrus', 'species', 'loxandrus circulus')
('genus', 'loxandrus', 'species', 'loxandrus collucens')
('genus', 'loxandrus', 'species', 'loxandrus crenatus')
('genus', 'loxandrus', 'species', 'loxandrus cubanus')
('genus', 'loxandrus', 'species', 'loxandrus duryi')
