('class', 'insecta', 'family', 'carabidae')
('family', 'carabidae', 'genus', 'paratachys')
('family', 'carabidae', 'genus', 'zuphioides')
('genus', 'acupalpus', 'species', 'acupalpus lamprotus')
('genus', 'agonum', 'species', 'agonum coptoderoides')
('genus', 'agonum', 'species', 'agonum laetificum')
('genus', 'agonum', 'species', 'agonum tropicum')
('genus', 'apenes', 'species', 'apenes sculpticeps')
('genus', 'aspidoglossa', 'species', 'aspidoglossa vulnerata')
('genus', 'bembidion', 'species', 'bembidion brownorum')
('genus', 'cillenus', 'species', 'cillenus lateralis')
('genus', 'dicheirus', 'species', 'dicheirus brunneus')
('genus', 'discoderus', 'species', 'discoderus discoderoides')
('genus', 'dyschirius', 'species', 'dyschirius carrorum')
('genus', 'dyschirius', 'species', 'dyschirius globulosus/longulus')
('genus', 'gnatholymnaeum', 'species', 'gnatholymnaeum blackburni')
('genus', 'harpalus', 'species', 'harpalus caliginosus/katiae')
('genus', 'harpalus', 'species', 'harpalus ellipsis/opacipennis')
('genus', 'harpalus', 'species', 'harpalus paratus/pensylvanicus')
('genus', 'harpalus', 'species', 'harpalus pensylvanicus/texanus')
('genus', 'lionepha', 'species', 'lionepha probata')
('genus', 'masoreus', 'species', 'masoreus ciliatus')
('genus', 'masoreus', 'species', 'masoreus ridiculus')
('genus', 'mecyclothorax', 'species', 'mecyclothorax brunneonubiger')
('genus', 'mecyclothorax', 'species', 'mecyclothorax neonomas')
('genus', 'micratopus', 'species', 'micratopus anaisae')
('genus', 'micratopus', 'species', 'micratopus erwini')
('genus', 'micratopus', 'species', 'micratopus parviceps')
('genus', 'oxycrepis', 'species', 'oxycrepis algidus')
('genus', 'oxycrepis', 'species', 'oxycrepis celer')
('genus', 'oxycrepis', 'species', 'oxycrepis circulus')
('genus', 'oxycrepis', 'species', 'oxycrepis crenatus')
('genus', 'oxycrepis', 'species', 'oxycrepis cubanus')
('genus', 'oxycrepis', 'species', 'oxycrepis erraticus')
('genus', 'oxycrepis', 'species', 'oxycrepis extendus')
('genus', 'oxycrepis', 'species', 'oxycrepis floridanus')
('genus', 'oxycrepis', 'species', 'oxycrepis gibbus')
('genus', 'oxycrepis', 'species', 'oxycrepis icarus')
('genus', 'oxycrepis', 'species', 'oxycrepis infimus')
('genus', 'oxycrepis', 'species', 'oxycrepis nitidulus')
('genus', 'oxycrepis', 'species', 'oxycrepis pactinullus')
('genus', 'oxycrepis', 'species', 'oxycrepis parallelus')
('genus', 'oxycrepis', 'species', 'oxycrepis parvulus')
('genus', 'oxycrepis', 'species', 'oxycrepis piceolus')
('genus', 'oxycrepis', 'species', 'oxycrepis pravitubus')
('genus', 'oxycrepis', 'species', 'oxycrepis proximus')
('genus', 'oxycrepis', 'species', 'oxycrepis pusillus')
('genus', 'oxycrepis', 'species', 'oxycrepis rectangulus')
('genus', 'oxycrepis', 'species', 'oxycrepis rectus')
('genus', 'oxycrepis', 'species', 'oxycrepis remotus')
('genus', 'oxycrepis', 'species', 'oxycrepis robustus')
('genus', 'oxycrepis', 'species', 'oxycrepis saphyrinus')
('genus', 'oxycrepis', 'species', 'oxycrepis spinilunatus')
('genus', 'oxycrepis', 'species', 'oxycrepis taeniatus')
('genus', 'oxycrepis', 'species', 'oxycrepis unilobus')
('genus', 'oxycrepis', 'species', 'oxycrepis vulneratus')
('genus', 'paraclivina', 'species', 'paraclivina bipustulata')
('genus', 'paraclivina', 'species', 'paraclivina fasciata')
('genus', 'paraclivina', 'species', 'paraclivina ferrea')
('genus', 'paraclivina', 'species', 'paraclivina marginipennis')
('genus', 'paraclivina', 'species', 'paraclivina postica')
('genus', 'paraclivina', 'species', 'paraclivina stigmula')
('genus', 'paraclivina', 'species', 'paraclivina striatopunctata')
('genus', 'paratachys', 'species', 'paratachys austinicus')
('genus', 'pasimachus', 'species', 'pasimachus californicus/depressus')
('genus', 'pentagonica', 'species', 'pentagonica divisa')
('genus', 'platynus', 'species', 'platynus valens')
('genus', 'polyderis', 'species', 'polyderis diaphana')
('genus', 'polyderis', 'species', 'polyderis laeva')
('genus', 'polyderis', 'species', 'polyderis rufotestacea')
('genus', 'pseudomorpha', 'species', 'pseudomorpha angustata')
('genus', 'pterostichus', 'species', 'pterostichus ampliatus')
('genus', 'pterostichus', 'species', 'pterostichus anomalus')
('genus', 'pterostichus', 'species', 'pterostichus aztecus')
('genus', 'pterostichus', 'species', 'pterostichus brachypterus')
('genus', 'pterostichus', 'species', 'pterostichus coracinus/novus')
('genus', 'pterostichus', 'species', 'pterostichus cubensis')
('genus', 'pterostichus', 'species', 'pterostichus evanescens')
('genus', 'pterostichus', 'species', 'pterostichus longissimus')
('genus', 'pterostichus', 'species', 'pterostichus oscitans')
('genus', 'pterostichus', 'species', 'pterostichus serratipes')
('genus', 'selenophorus', 'species', 'selenophorus lucidulus')
('genus', 'selenophorus', 'species', 'selenophorus pumilus')
('genus', 'selenophorus', 'species', 'selenophorus vigilans')
('genus', 'trichotichnus', 'species', 'trichotichnus nitidulus')
('genus', 'zuphioides', 'species', 'zuphioides americanum')
('genus', 'zuphioides', 'species', 'zuphioides delectum')
('genus', 'zuphioides', 'species', 'zuphioides longicolle')
('genus', 'zuphioides', 'species', 'zuphioides magnum')
('genus', 'zuphioides', 'species', 'zuphioides mexicanum')
('genus', 'zuphioides', 'species', 'zuphioides pseudamericanum')
