('class', 'amphibia', 'order', 'anura')
('class', 'amphibia', 'order', 'caudata')
('class', 'reptilia', 'order', 'crocodilia')
('class', 'reptilia', 'order', 'squamata')
('class', 'reptilia', 'order', 'testudines')
('family', 'acrochordidae', 'genus', 'acrochordus')
('family', 'agamidae', 'genus', 'agama')
('family', 'agamidae', 'genus', 'calotes')
('family', 'agamidae', 'genus', 'leiolepis')
('family', 'alligatoridae', 'genus', 'alligator')
('family', 'alligatoridae', 'genus', 'caiman')
('family', 'ambystomatidae', 'genus', 'ambystoma')
('family', 'ambystomatidae', 'genus', 'dicamptodon')
('family', 'amphisbaenidae', 'genus', 'amphisbaena')
('family', 'amphiumidae', 'genus', 'amphiuma')
('family', 'anguidae', 'genus', 'diploglossus')
('family', 'anguidae', 'genus', 'elgaria')
('family', 'anguidae', 'genus', 'gerrhonotus')
('family', 'anguidae', 'genus', 'ophisaurus')
('family', 'anniellidae', 'genus', 'anniella')
('family', 'boidae', 'genus', 'boa')
('family', 'boidae', 'genus', 'charina')
('family', 'boidae', 'genus', 'epicrates')
('family', 'boidae', 'genus', 'lichanura')
('family', 'bufonidae', 'genus', 'anaxyrus')
('family', 'bufonidae', 'genus', 'bufo')
('family', 'bufonidae', 'genus', 'incilius')
('family', 'bufonidae', 'genus', 'ollotis')
('family', 'bufonidae', 'genus', 'peltophryne')
('family', 'bufonidae', 'genus', 'rhinella')
('family', 'chamaeleonidae', 'genus', 'chamaeleo')
('family', 'chamaeleonidae', 'genus', 'furcifer')
('family', 'cheloniidae', 'genus', 'eretmochelys')
('family', 'chelydridae', 'genus', 'chelydra')
('family', 'chelydridae', 'genus', 'macrochelys')
('family', 'colubridae', 'genus', 'arizona')
('family', 'colubridae', 'genus', 'bogertophis')
('family', 'colubridae', 'genus', 'borikenophis')
('family', 'colubridae', 'genus', 'carphophis')
('family', 'colubridae', 'genus', 'cemophora')
('family', 'colubridae', 'genus', 'chilomeniscus')
('family', 'colubridae', 'genus', 'chionactis')
('family', 'colubridae', 'genus', 'clonophis')
