('class', 'adenophorea', 'order', 'mermithida')
('class', 'anopla', 'order', 'heteronemertea')
('class', 'anopla', 'order', 'not assigned')
('class', 'anopla', 'order', 'paleonemertea')
('class', 'anthozoa', 'order', 'actiniaria')
('class', 'anthozoa', 'order', 'alcyonacea')
('class', 'anthozoa', 'order', 'ceriantharia')
('class', 'anthozoa', 'order', 'penicillaria')
('class', 'anthozoa', 'order', 'pennatulacea')
('class', 'anthozoa', 'order', 'scleractinia')
('class', 'aphanoneura', 'order', 'aeolosomatida')
('class', 'appendicularia', 'order', 'copelata')
('class', 'arachnida', 'family', 'hydryphantidae')
('class', 'arachnida', 'family', 'stygothrombiidae')
('class', 'arachnida', 'order', 'actinedida')
('class', 'arachnida', 'order', 'araneae')
('class', 'arachnida', 'order', 'mesostigmata')
('class', 'arachnida', 'order', 'opiliones')
('class', 'arachnida', 'order', 'prostigmata')
('class', 'arachnida', 'order', 'pseudoscorpiones')
('class', 'arachnida', 'order', 'sarcoptiformes')
('class', 'arachnida', 'order', 'trombidiformes')
('class', 'ascidiacea', 'order', 'enterogona')
('class', 'ascidiacea', 'order', 'phlebobranchia')
('class', 'ascidiacea', 'order', 'pleurogona')
('class', 'ascidiacea', 'order', 'stolidobranchia')
('class', 'asteroidea', 'order', 'forcipulatida')
('class', 'asteroidea', 'order', 'paxillosida')
('class', 'asteroidea', 'order', 'spinulosida')
('class', 'aves', 'order', 'apodiformes')
('class', 'bacillariophyceae', 'family', 'acteonidae')
('class', 'bacillariophyceae', 'family', 'aplustridae')
('class', 'bacillariophyceae', 'family', 'arenicolidae')
('class', 'bacillariophyceae', 'family', 'barentsiidae')
('class', 'bacillariophyceae', 'family', 'basterotiidae')
('class', 'bacillariophyceae', 'family', 'capitellidae')
('class', 'bacillariophyceae', 'family', 'carinomidae')
('class', 'bacillariophyceae', 'family', 'cephalothricidae')
('class', 'bacillariophyceae', 'family', 'cerithiopsidae')
('class', 'bacillariophyceae', 'family', 'chaetopteridae')
('class', 'bacillariophyceae', 'family', 'cossuridae')
('class', 'bacillariophyceae', 'family', 'cuspidariidae')
('class', 'bacillariophyceae', 'family', 'cylindrobullidae')
('class', 'bacillariophyceae', 'family', 'epitoniidae')
('class', 'bacillariophyceae', 'family', 'galeommatidae')
('class', 'bacillariophyceae', 'family', 'harrimaniidae')
('class', 'bacillariophyceae', 'family', 'lasaeidae')
('class', 'bacillariophyceae', 'family', 'lepetidae')
('class', 'bacillariophyceae', 'family', 'limapontiidae')
('class', 'bacillariophyceae', 'family', 'lottiidae')
('class', 'bacillariophyceae', 'family', 'lyonsiidae')
('class', 'bacillariophyceae', 'family', 'mactridae')
('class', 'bacillariophyceae', 'family', 'magelonidae')
('class', 'bacillariophyceae', 'family', 'maldanidae')
('class', 'bacillariophyceae', 'family', 'opheliidae')
('class', 'bacillariophyceae', 'family', 'orbiniidae')
('class', 'bacillariophyceae', 'family', 'pandoridae')
('class', 'bacillariophyceae', 'family', 'paraonidae')
('class', 'bacillariophyceae', 'family', 'periplomatidae')
('class', 'bacillariophyceae', 'family', 'plakobranchidae')
('class', 'bacillariophyceae', 'family', 'polygordiidae')
('class', 'bacillariophyceae', 'family', 'protodrilidae')
('class', 'bacillariophyceae', 'family', 'psammodrilidae')
('class', 'bacillariophyceae', 'family', 'ptychoderidae')
('class', 'bacillariophyceae', 'family', 'pyramidellidae')
('class', 'bacillariophyceae', 'family', 'ringiculidae')
('class', 'bacillariophyceae', 'family', 'sabellariidae')
('class', 'bacillariophyceae', 'family', 'saccocirridae')
('class', 'bacillariophyceae', 'family', 'scalibregmatidae')
('class', 'bacillariophyceae', 'family', 'spengelidae')
('class', 'bacillariophyceae', 'family', 'thraciidae')
('class', 'bacillariophyceae', 'family', 'travisiidae')
('class', 'bacillariophyceae', 'family', 'triphoridae')
('class', 'bacillariophyceae', 'family', 'tubulanidae')
('class', 'bacillariophyceae', 'family', 'verticordiidae')
('class', 'bacillariophyceae', 'genus', 'armaturatanais')
('class', 'bacillariophyceae', 'genus', 'compressidens')
('class', 'bacillariophyceae', 'genus', 'graptoleberis')
('class', 'bacillariophyceae', 'genus', 'kurzia')
('class', 'bacillariophyceae', 'genus', 'latona')
('class', 'bacillariophyceae', 'genus', 'leydigia')
('class', 'bacillariophyceae', 'genus', 'magelona')
('class', 'bacillariophyceae', 'genus', 'monospilus')
('class', 'bacillariophyceae', 'genus', 'penilia')
('class', 'bacillariophyceae', 'genus', 'phoronis')
('class', 'bacillariophyceae', 'genus', 'phoronopsis')
('class', 'bacillariophyceae', 'genus', 'picripleuroxus')
('class', 'bacillariophyceae', 'genus', 'pseudoarthrura')
('class', 'bacillariophyceae', 'genus', 'pseudochydorus')
('class', 'bacillariophyceae', 'genus', 'scapholeberis')
('class', 'bacillariophyceae', 'order', 'prolecithophora')
('class', 'bdelloidea', 'family', 'philodinidae')
('class', 'bivalvia', 'family', 'periplomatidae')
('class', 'bivalvia', 'order', 'adapedonta')
('class', 'bivalvia', 'order', 'anomalodesmata')
('class', 'bivalvia', 'order', 'arcida')
('class', 'bivalvia', 'order', 'arcoida')
('class', 'bivalvia', 'order', 'cardiida')
('class', 'bivalvia', 'order', 'carditida')
('class', 'bivalvia', 'order', 'gastrochaenida')
('class', 'bivalvia', 'order', 'limida')
('class', 'bivalvia', 'order', 'limoida')
('class', 'bivalvia', 'order', 'lucinida')
('class', 'bivalvia', 'order', 'myida')
('class', 'bivalvia', 'order', 'myoida')
('class', 'bivalvia', 'order', 'mytilida')
('class', 'bivalvia', 'order', 'mytiloida')
('class', 'bivalvia', 'order', 'not assigned')
('class', 'bivalvia', 'order', 'nuculanida')
('class', 'bivalvia', 'order', 'nuculida')
('class', 'bivalvia', 'order', 'nuculoida')
('class', 'bivalvia', 'order', 'ostreida')
('class', 'bivalvia', 'order', 'ostreoida')
('class', 'bivalvia', 'order', 'pectinida')
('class', 'bivalvia', 'order', 'pectinoida')
('class', 'bivalvia', 'order', 'pholadomyoida')
('class', 'bivalvia', 'order', 'pterioida')
('class', 'bivalvia', 'order', 'schizodonta')
('class', 'bivalvia', 'order', 'solemyida')
('class', 'bivalvia', 'order', 'solemyoida')
('class', 'bivalvia', 'order', 'sphaeriida')
('class', 'bivalvia', 'order', 'unionida')
('class', 'bivalvia', 'order', 'unionoida')
('class', 'bivalvia', 'order', 'venerida')
('class', 'bivalvia', 'order', 'veneroida')
('class', 'branchiopoda', 'order', 'anostraca')
('class', 'branchiopoda', 'order', 'diplostraca')
('class', 'branchiopoda', 'order', 'notostraca')
('class', 'calcarea', 'order', 'leucosolenida')
('class', 'caudofoveata', 'order', 'chaetodermatida')
('class', 'cephalocarida', 'order', 'brachypoda')
('class', 'chilopoda', 'order', 'geophilomorpha')
('class', 'chromadorea', 'order', 'monhysterida')
('class', 'clitellata', 'family', 'enchytraeidae')
('class', 'clitellata', 'order', 'acanthobdellida')
('class', 'clitellata', 'order', 'arhynchobdellida')
('class', 'clitellata', 'order', 'branchiobdellida')
('class', 'clitellata', 'order', 'crassiclitellata')
('class', 'clitellata', 'order', 'enchytraeida')
('class', 'clitellata', 'order', 'euhirudinea')
('class', 'clitellata', 'order', 'haplotaxida')
('class', 'clitellata', 'order', 'hirudinea')
('class', 'clitellata', 'order', 'lumbriculida')
('class', 'clitellata', 'order', 'opisthopora')
('class', 'clitellata', 'order', 'rhynchobdellida')
('class', 'clitellata', 'order', 'tubificida')
('class', 'collembola', 'family', 'bourletiellidae')
('class', 'collembola', 'family', 'entomobryidae')
('class', 'collembola', 'family', 'isotomidae')
('class', 'collembola', 'family', 'katiannidae')
('class', 'collembola', 'family', 'neanuridae')
('class', 'collembola', 'family', 'onychiuridae')
('class', 'collembola', 'family', 'sminthurididae')
('class', 'collembola', 'family', 'tomoceridae')
('class', 'collembola', 'family', 'tullbergiidae')
('class', 'collembola', 'order', 'collembola')
('class', 'copepoda', 'order', 'harpacticoida')
('class', 'crinoidea', 'order', 'comatulida')
('class', 'demospongiae', 'order', 'haplosclerida')
('class', 'demospongiae', 'order', 'spongillida')
('class', 'diplopoda', 'order', 'polydesmida')
('class', 'diplura', 'order', 'diplura')
('class', 'dorylaimea', 'order', 'mermithida')
('class', 'echinoidea', 'order', 'arbacioida')
('class', 'echinoidea', 'order', 'camarodonta')
('class', 'echinoidea', 'order', 'cidaroida')
('class', 'echinoidea', 'order', 'clypeasteroida')
('class', 'echinoidea', 'order', 'echinoida')
('class', 'echinoidea', 'order', 'spatangoida')
('class', 'echinoidea', 'order', 'temnopleuroida')
('class', 'enopla', 'order', 'bdellonemertea')
('class', 'enopla', 'order', 'hoplonemertea')
('class', 'enopla', 'order', 'monostilifera')
('class', 'enteropneusta', 'family', 'harrimaniidae')
('class', 'enteropneusta', 'family', 'ptychoderidae')
('class', 'enteropneusta', 'family', 'spengelidae')
('class', 'enteropneusta', 'order', '[unassigned] enteropneusta')
('class', 'entognatha', 'order', 'collembola')
('class', 'entoprocta', 'order', 'solitaria')
('class', 'errantia', 'order', 'amphinomida')
('class', 'errantia', 'order', 'eunicida')
('class', 'errantia', 'order', 'phyllodocida')
('class', 'eurotatoria', 'order', 'bdelloidea')
('class', 'eurotatoria', 'order', 'collothecacea')
('class', 'eurotatoria', 'order', 'flosculariaceae')
('class', 'eurotatoria', 'order', 'ploima')
('class', 'eurotiomycetes', 'order', 'chaetothyriales')
('class', 'gastropoda', 'family', 'acroloxidae')
('class', 'gastropoda', 'family', 'amnicolidae')
('class', 'gastropoda', 'family', 'cerithiidae')
('class', 'gastropoda', 'family', 'cochliopidae')
('class', 'gastropoda', 'family', 'colloniidae')
('class', 'gastropoda', 'family', 'hydrobiidae')
('class', 'gastropoda', 'family', 'lymnaeidae')
('class', 'gastropoda', 'family', 'modulidae')
('class', 'gastropoda', 'family', 'physidae')
('class', 'gastropoda', 'family', 'planorbidae')
('class', 'gastropoda', 'family', 'pleuroceridae')
('class', 'gastropoda', 'family', 'polygyridae')
('class', 'gastropoda', 'family', 'semisulcospiridae')
('class', 'gastropoda', 'family', 'thiaridae')
('class', 'gastropoda', 'family', 'turritellidae')
('class', 'gastropoda', 'family', 'valvatidae')
('class', 'gastropoda', 'genus', 'euthyneura')
('class', 'gastropoda', 'order', 'anaspidea')
('class', 'gastropoda', 'order', 'aplysiida')
('class', 'gastropoda', 'order', 'archaeogastropoda')
('class', 'gastropoda', 'order', 'archaeopulmonata')
('class', 'gastropoda', 'order', 'architaenioglossa')
('class', 'gastropoda', 'order', 'basommatophora')
('class', 'gastropoda', 'order', 'cephalaspidea')
('class', 'gastropoda', 'order', 'cycloneritida')
('class', 'gastropoda', 'order', 'cycloneritimorpha')
('class', 'gastropoda', 'order', 'ellobiida')
('class', 'gastropoda', 'order', 'heterostropha')
('class', 'gastropoda', 'order', 'hygrophila')
('class', 'gastropoda', 'order', 'lepetellida')
('class', 'gastropoda', 'order', 'littorinimorpha')
('class', 'gastropoda', 'order', 'mesogastropoda')
('class', 'gastropoda', 'order', 'neogastropoda')
('class', 'gastropoda', 'order', 'neotaenioglossa')
('class', 'gastropoda', 'order', 'neritopsina')
('class', 'gastropoda', 'order', 'not assigned')
('class', 'gastropoda', 'order', 'notaspidea')
('class', 'gastropoda', 'order', 'nudibranchia')
('class', 'gastropoda', 'order', 'patellogastropoda')
('class', 'gastropoda', 'order', 'pleurobranchida')
('class', 'gastropoda', 'order', 'ptenoglossa')
('class', 'gastropoda', 'order', 'sacoglossa')
('class', 'gastropoda', 'order', 'sorbeoconcha')
('class', 'gastropoda', 'order', 'stylommatophora')
('class', 'gastropoda', 'order', 'trochida')
('class', 'gordioida', 'order', 'gordioidea')
