('class', 'adenophorea', 'order', 'mermithida')
('class', 'anthozoa', 'order', 'penicillaria')
('class', 'ascidiacea', 'order', 'phlebobranchia')
('class', 'ascidiacea', 'order', 'stolidobranchia')
('class', 'aves', 'order', 'apodiformes')
('class', 'bacillariophyceae', 'family', 'acteonidae')
('class', 'bacillariophyceae', 'family', 'aplustridae')
('class', 'bacillariophyceae', 'family', 'arenicolidae')
('class', 'bacillariophyceae', 'family', 'barentsiidae')
('class', 'bacillariophyceae', 'family', 'basterotiidae')
('class', 'bacillariophyceae', 'family', 'capitellidae')
('class', 'bacillariophyceae', 'family', 'carinomidae')
('class', 'bacillariophyceae', 'family', 'cephalothricidae')
('class', 'bacillariophyceae', 'family', 'cerithiopsidae')
('class', 'bacillariophyceae', 'family', 'chaetopteridae')
('class', 'bacillariophyceae', 'family', 'cossuridae')
('class', 'bacillariophyceae', 'family', 'cuspidariidae')
('class', 'bacillariophyceae', 'family', 'cylindrobullidae')
('class', 'bacillariophyceae', 'family', 'epitoniidae')
('class', 'bacillariophyceae', 'family', 'galeommatidae')
('class', 'bacillariophyceae', 'family', 'harrimaniidae')
('class', 'bacillariophyceae', 'family', 'lasaeidae')
('class', 'bacillariophyceae', 'family', 'lepetidae')
('class', 'bacillariophyceae', 'family', 'limapontiidae')
('class', 'bacillariophyceae', 'family', 'lottiidae')
('class', 'bacillariophyceae', 'family', 'lyonsiidae')
('class', 'bacillariophyceae', 'family', 'mactridae')
('class', 'bacillariophyceae', 'family', 'magelonidae')
('class', 'bacillariophyceae', 'family', 'maldanidae')
('class', 'bacillariophyceae', 'family', 'opheliidae')
('class', 'bacillariophyceae', 'family', 'orbiniidae')
('class', 'bacillariophyceae', 'family', 'pandoridae')
('class', 'bacillariophyceae', 'family', 'paraonidae')
('class', 'bacillariophyceae', 'family', 'periplomatidae')
('class', 'bacillariophyceae', 'family', 'plakobranchidae')
('class', 'bacillariophyceae', 'family', 'polygordiidae')
('class', 'bacillariophyceae', 'family', 'protodrilidae')
('class', 'bacillariophyceae', 'family', 'psammodrilidae')
('class', 'bacillariophyceae', 'family', 'ptychoderidae')
('class', 'bacillariophyceae', 'family', 'pyramidellidae')
('class', 'bacillariophyceae', 'family', 'ringiculidae')
('class', 'bacillariophyceae', 'family', 'sabellariidae')
('class', 'bacillariophyceae', 'family', 'saccocirridae')
('class', 'bacillariophyceae', 'family', 'scalibregmatidae')
('class', 'bacillariophyceae', 'family', 'spengelidae')
('class', 'bacillariophyceae', 'family', 'thraciidae')
('class', 'bacillariophyceae', 'family', 'travisiidae')
('class', 'bacillariophyceae', 'family', 'triphoridae')
('class', 'bacillariophyceae', 'family', 'tubulanidae')
('class', 'bacillariophyceae', 'family', 'verticordiidae')
('class', 'bacillariophyceae', 'genus', 'armaturatanais')
('class', 'bacillariophyceae', 'genus', 'compressidens')
('class', 'bacillariophyceae', 'genus', 'graptoleberis')
('class', 'bacillariophyceae', 'genus', 'kurzia')
('class', 'bacillariophyceae', 'genus', 'latona')
('class', 'bacillariophyceae', 'genus', 'leydigia')
('class', 'bacillariophyceae', 'genus', 'magelona')
('class', 'bacillariophyceae', 'genus', 'monospilus')
('class', 'bacillariophyceae', 'genus', 'penilia')
('class', 'bacillariophyceae', 'genus', 'phoronis')
('class', 'bacillariophyceae', 'genus', 'phoronopsis')
