('class', 'anopla', 'order', 'heteronemertea')
('class', 'anopla', 'order', 'not assigned')
('class', 'aphanoneura', 'order', 'aeolosomatida')
('class', 'arachnida', 'family', 'hydryphantidae')
('class', 'arachnida', 'family', 'stygothrombiidae')
('class', 'ascidiacea', 'order', 'enterogona')
('class', 'ascidiacea', 'order', 'pleurogona')
('class', 'bdelloidea', 'family', 'philodinidae')
('class', 'bivalvia', 'order', 'anomalodesmata')
('class', 'bivalvia', 'order', 'mytiloida')
('class', 'bivalvia', 'order', 'not assigned')
('class', 'bivalvia', 'order', 'pholadomyoida')
('class', 'clitellata', 'family', 'enchytraeidae')
('class', 'clitellata', 'order', 'hirudinea')
('class', 'collembola', 'family', 'bourletiellidae')
('class', 'collembola', 'family', 'entomobryidae')
('class', 'collembola', 'family', 'isotomidae')
('class', 'collembola', 'family', 'katiannidae')
('class', 'collembola', 'family', 'neanuridae')
('class', 'collembola', 'family', 'onychiuridae')
('class', 'collembola', 'family', 'sminthurididae')
('class', 'collembola', 'family', 'tomoceridae')
('class', 'collembola', 'family', 'tullbergiidae')
('class', 'collembola', 'order', 'collembola')
('class', 'copepoda', 'order', 'harpacticoida')
('class', 'demospongiae', 'order', 'haplosclerida')
('class', 'diplura', 'order', 'diplura')
('class', 'dorylaimea', 'order', 'mermithida')
('class', 'echinoidea', 'order', 'echinoida')
('class', 'echinoidea', 'order', 'temnopleuroida')
('class', 'enopla', 'order', 'bdellonemertea')
('class', 'enopla', 'order', 'hoplonemertea')
('class', 'enopla', 'order', 'monostilifera')
('class', 'enteropneusta', 'family', 'harrimaniidae')
('class', 'enteropneusta', 'family', 'ptychoderidae')
('class', 'enteropneusta', 'family', 'spengelidae')
('class', 'enteropneusta', 'order', '[unassigned] enteropneusta')
('class', 'entoprocta', 'order', 'solitaria')
('class', 'errantia', 'order', 'amphinomida')
('class', 'errantia', 'order', 'eunicida')
('class', 'errantia', 'order', 'phyllodocida')
('class', 'gastropoda', 'family', 'amnicolidae')
('class', 'gastropoda', 'family', 'cochliopidae')
('class', 'gastropoda', 'family', 'colloniidae')
('class', 'gastropoda', 'family', 'hydrobiidae')
('class', 'gastropoda', 'family', 'polygyridae')
