('class', 'alsuviricetes', 'order', 'martellivirales')
('class', 'ellioviricetes', 'order', 'bunyavirales')
('class', 'flasuviricetes', 'order', 'amarillovirales')
('family', 'bunyaviridae', 'genus', 'orthobunyavirus')
('family', 'flaviviridae', 'genus', 'flavivirus')
('family', 'peribunyaviridae', 'genus', 'orthobunyavirus')
('family', 'togaviridae', 'genus', 'alphavirus')
('genus', 'alphavirus', 'species', 'alphavirus chikungunya virus')
('genus', 'alphavirus', 'species', 'alphavirus eastern equine encephalitis virus')
('genus', 'alphavirus', 'species', 'alphavirus everglades virus')
('genus', 'alphavirus', 'species', 'alphavirus highlands j virus')
('genus', 'alphavirus', 'species', 'alphavirus mayaro virus')
('genus', 'alphavirus', 'species', 'alphavirus ross river virus')
('genus', 'alphavirus', 'species', 'alphavirus sindbis virus')
('genus', 'alphavirus', 'species', 'alphavirus una virus')
('genus', 'alphavirus', 'species', 'alphavirus venezuelan equine encephalitis virus')
('genus', 'alphavirus', 'species', 'alphavirus western equine encephalitis virus')
('genus', 'alphavirus', 'species', 'chikungunya virus')
('genus', 'alphavirus', 'species', 'eastern equine encephalitis virus')
('genus', 'alphavirus', 'species', 'everglades virus')
('genus', 'alphavirus', 'species', 'highlands j virus')
('genus', 'alphavirus', 'species', 'mayaro virus')
('genus', 'alphavirus', 'species', 'ross river virus')
('genus', 'alphavirus', 'species', 'sindbis virus')
('genus', 'alphavirus', 'species', 'una virus')
('genus', 'alphavirus', 'species', 'venezuelan equine encephalitis virus')
('genus', 'alphavirus', 'species', 'western equine encephalitis virus')
('genus', 'flavivirus', 'species', 'flavivirus cowbone ridge virus')
('genus', 'flavivirus', 'species', 'flavivirus dengue virus')
('genus', 'flavivirus', 'species', 'flavivirus japanese encephalitis virus')
('genus', 'flavivirus', 'species', 'flavivirus st. louis encephalitis virus')
('genus', 'flavivirus', 'species', 'flavivirus west nile virus')
('genus', 'flavivirus', 'species', 'flavivirus yellow fever virus')
('genus', 'flavivirus', 'species', 'flavivirus zika virus')
('genus', 'flavivirus', 'species', 'st. louis encephalitis virus')
('genus', 'orthobunyavirus', 'species', 'california encephalitis virus')
('genus', 'orthobunyavirus', 'species', 'la crosse virus')
('genus', 'orthobunyavirus', 'species', 'main drain virus')
('genus', 'orthobunyavirus', 'species', 'oropouche virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus california encephalitis virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus la crosse virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus main drain virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus oropouche virus')
('genus', 'orthobunyavirus', 'species', 'orthobunyavirus zegla virus')
('genus', 'orthobunyavirus', 'species', 'zegla virus')
('kingdom', 'orthornavirae', 'family', 'bunyaviridae')
('kingdom', 'orthornavirae', 'phylum', 'kitrinoviricota')
('kingdom', 'orthornavirae', 'phylum', 'negarnaviricota')
('order', 'amarillovirales', 'family', 'flaviviridae')
('order', 'bunyavirales', 'family', 'peribunyaviridae')
('order', 'martellivirales', 'family', 'togaviridae')
('phylum', 'kitrinoviricota', 'class', 'alsuviricetes')
('phylum', 'kitrinoviricota', 'class', 'flasuviricetes')
('phylum', 'negarnaviricota', 'class', 'ellioviricetes')
