('class', 'alsuviricetes', 'order', 'martellivirales')
('class', 'ellioviricetes', 'order', 'bunyavirales')
('class', 'flasuviricetes', 'order', 'amarillovirales')
('family', 'peribunyaviridae', 'genus', 'orthobunyavirus')
('genus', 'alphavirus', 'species', 'chikungunya virus')
('genus', 'alphavirus', 'species', 'eastern equine encephalitis virus')
('genus', 'alphavirus', 'species', 'everglades virus')
('genus', 'alphavirus', 'species', 'highlands j virus')
('genus', 'alphavirus', 'species', 'mayaro virus')
('genus', 'alphavirus', 'species', 'ross river virus')
('genus', 'alphavirus', 'species', 'sindbis virus')
('genus', 'alphavirus', 'species', 'una virus')
('genus', 'alphavirus', 'species', 'venezuelan equine encephalitis virus')
('genus', 'alphavirus', 'species', 'western equine encephalitis virus')
('genus', 'flavivirus', 'species', 'st. louis encephalitis virus')
('genus', 'orthobunyavirus', 'species', 'california encephalitis virus')
('genus', 'orthobunyavirus', 'species', 'la crosse virus')
('genus', 'orthobunyavirus', 'species', 'main drain virus')
('genus', 'orthobunyavirus', 'species', 'oropouche virus')
('genus', 'orthobunyavirus', 'species', 'zegla virus')
('kingdom', 'orthornavirae', 'family', 'bunyaviridae')
('kingdom', 'orthornavirae', 'phylum', 'kitrinoviricota')
('kingdom', 'orthornavirae', 'phylum', 'negarnaviricota')
('order', 'amarillovirales', 'family', 'flaviviridae')
('order', 'bunyavirales', 'family', 'peribunyaviridae')
('order', 'martellivirales', 'family', 'togaviridae')
('phylum', 'kitrinoviricota', 'class', 'alsuviricetes')
('phylum', 'kitrinoviricota', 'class', 'flasuviricetes')
('phylum', 'negarnaviricota', 'class', 'ellioviricetes')
