('class', 'andreaeopsida', 'order', 'andreaeales')
('class', 'andreaeopsida', 'order', 'andreaeobryales')
('class', 'anthocerotopsida', 'order', 'anthocerotales')
('class', 'ascomycetes', 'family', 'dactylosporaceae')
('class', 'ascomycetes', 'family', 'mastodiaceae')
('class', 'ascomycetes', 'family', 'melaspileaceae')
('class', 'ascomycetes', 'family', 'phlyctidaceae')
('class', 'ascomycetes', 'family', 'protothelenellaceae')
('class', 'ascomycetes', 'family', 'thelenellaceae')
('class', 'ascomycetes', 'family', 'thrombiaceae')
('class', 'ascomycetes', 'order', 'arthoniales')
('class', 'ascomycetes', 'order', 'caliciales')
('class', 'ascomycetes', 'order', 'capnodiales')
('class', 'ascomycetes', 'order', 'dothideales')
('class', 'ascomycetes', 'order', 'eurotiales')
('class', 'ascomycetes', 'order', 'graphidales')
('class', 'ascomycetes', 'order', 'gyalectales')
('class', 'ascomycetes', 'order', 'hypocreales')
('class', 'ascomycetes', 'order', 'lecanorales')
('class', 'ascomycetes', 'order', 'leotiales')
('class', 'ascomycetes', 'order', 'lichinales')
('class', 'ascomycetes', 'order', 'melanommatales')
('class', 'ascomycetes', 'order', 'onygenales')
('class', 'ascomycetes', 'order', 'opegraphales')
('class', 'ascomycetes', 'order', 'ostropales')
('class', 'ascomycetes', 'order', 'patellariales')
('class', 'ascomycetes', 'order', 'peltigerales')
('class', 'ascomycetes', 'order', 'pertusariales')
('class', 'ascomycetes', 'order', 'phyllachorales')
('class', 'ascomycetes', 'order', 'pleosporales')
('class', 'ascomycetes', 'order', 'pyrenulales')
('class', 'ascomycetes', 'order', 'sphaeriales')
('class', 'ascomycetes', 'order', 'teloschistales')
('class', 'ascomycetes', 'order', 'verrucariales')
('class', 'basidiomycetes', 'order', 'agaricales')
('class', 'basidiomycetes', 'order', 'atractiellales')
('class', 'basidiomycetes', 'order', 'cantharellales')
('class', 'basidiomycetes', 'order', 'stereales')
('class', 'basidiomycetes', 'order', 'tremellales')
('class', 'bryopsida', 'family', 'grimmiaceae')
('class', 'bryopsida', 'genus', 'diettertia')
('class', 'bryopsida', 'order', 'archidiales')
('class', 'bryopsida', 'order', 'bryales')
('class', 'bryopsida', 'order', 'buxbaumiales')
('class', 'bryopsida', 'order', 'dicranales')
('class', 'bryopsida', 'order', 'fissidentales')
('class', 'bryopsida', 'order', 'funariales')
('class', 'bryopsida', 'order', 'grimmiales')
('class', 'bryopsida', 'order', 'hookeriales')
('class', 'bryopsida', 'order', 'hypnales')
('class', 'bryopsida', 'order', 'isobryales')
('class', 'bryopsida', 'order', 'leucodontales')
('class', 'bryopsida', 'order', 'orthotrichales')
('class', 'bryopsida', 'order', 'polytrichales')
('class', 'bryopsida', 'order', 'pottiales')
('class', 'bryopsida', 'order', 'seligerales')
('class', 'bryopsida', 'order', 'tetraphidales')
('class', 'chlorophyceae', 'order', 'caulerpales')
('class', 'cyanophyceae', 'order', 'nostocales')
('class', 'cycadopsida', 'order', 'cycadales')
('class', 'equisetopsida', 'family', 'acrobolbaceae')
('class', 'equisetopsida', 'family', 'amblystegiaceae')
('class', 'equisetopsida', 'family', 'anastrophyllaceae')
('class', 'equisetopsida', 'family', 'andreaeaceae')
('class', 'equisetopsida', 'family', 'aneuraceae')
('class', 'equisetopsida', 'family', 'anthocerotaceae')
('class', 'equisetopsida', 'family', 'archidiaceae')
('class', 'equisetopsida', 'family', 'arnelliaceae')
('class', 'equisetopsida', 'family', 'aulacomniaceae')
('class', 'equisetopsida', 'family', 'aytoniaceae')
('class', 'equisetopsida', 'family', 'balantiopsaceae')
('class', 'equisetopsida', 'family', 'bartramiaceae')
('class', 'equisetopsida', 'family', 'brachytheciaceae')
('class', 'equisetopsida', 'family', 'bruchiaceae')
('class', 'equisetopsida', 'family', 'bryaceae')
('class', 'equisetopsida', 'family', 'bryidae')
('class', 'equisetopsida', 'family', 'bryoxiphiaceae')
('class', 'equisetopsida', 'family', 'buxbaumiaceae')
('class', 'equisetopsida', 'family', 'calymperaceae')
('class', 'equisetopsida', 'family', 'calypogeiaceae')
('class', 'equisetopsida', 'family', 'catagoniaceae')
