('class', 'agaricomycetes', 'order', 'agaricales')
('class', 'agaricomycetes', 'order', 'atheliales')
('class', 'agaricomycetes', 'order', 'cantharellales')
('class', 'agaricomycetes', 'order', 'corticiales')
('class', 'agaricomycetes', 'order', 'geastrales')
('class', 'agaricomycetes', 'order', 'polyporales')
('class', 'agaricostilbomycetes', 'order', 'agaricostilbales')
('class', 'anthocerotopsida', 'order', 'dendrocerotales')
('class', 'anthocerotopsida', 'order', 'notothyladales')
('class', 'anthocerotopsida', 'order', 'phymatocerotales')
('class', 'arthoniomycetes', 'order', 'arthoniales')
('class', 'atractiellomycetes', 'order', 'atractiellales')
('class', 'aves', 'order', 'accipitriformes')
('class', 'bacillariophyceae', 'family', 'arctomiaceae')
('class', 'bacillariophyceae', 'family', 'arthopyreniaceae')
('class', 'bacillariophyceae', 'family', 'arthrorhaphidaceae')
('class', 'bacillariophyceae', 'family', 'brigantiaeaceae')
('class', 'bacillariophyceae', 'family', 'coniocybaceae')
('class', 'bacillariophyceae', 'family', 'dacampiaceae')
('class', 'bacillariophyceae', 'family', 'eremomycetaceae')
('class', 'bacillariophyceae', 'family', 'fuscideaceae')
('class', 'bacillariophyceae', 'family', 'hymeneliaceae')
('class', 'bacillariophyceae', 'family', 'lecideaceae')
('class', 'bacillariophyceae', 'family', 'mastodiaceae')
('class', 'bacillariophyceae', 'family', 'microcaliciaceae')
('class', 'bacillariophyceae', 'family', 'mycoporaceae')
('class', 'bacillariophyceae', 'family', 'myxotrichaceae')
('class', 'bacillariophyceae', 'family', 'naetrocymbaceae')
('class', 'bacillariophyceae', 'family', 'phyllogoniaceae')
('class', 'bacillariophyceae', 'family', 'pleuroziopsaceae')
('class', 'bacillariophyceae', 'family', 'protothelenellaceae')
('class', 'bacillariophyceae', 'family', 'rhizocarpaceae')
('class', 'bacillariophyceae', 'family', 'ropalosporaceae')
('class', 'bacillariophyceae', 'family', 'sarrameanaceae')
('class', 'bacillariophyceae', 'family', 'schaereriaceae')
('class', 'bacillariophyceae', 'family', 'sporastatiaceae')
('class', 'bacillariophyceae', 'family', 'thelenellaceae')
('class', 'bacillariophyceae', 'family', 'thelocarpaceae')
('class', 'bacillariophyceae', 'family', 'vezdaeaceae')
('class', 'bacillariophyceae', 'genus', 'bachmanniomyces')
('class', 'bacillariophyceae', 'genus', 'bilimbia')
('class', 'bacillariophyceae', 'genus', 'buelliella')
('class', 'bacillariophyceae', 'genus', 'calliergidium')
('class', 'bacillariophyceae', 'genus', 'catharinea')
('class', 'bacillariophyceae', 'genus', 'cercidospora')
('class', 'bacillariophyceae', 'genus', 'cora')
('class', 'bacillariophyceae', 'genus', 'cornutispora')
('class', 'bacillariophyceae', 'genus', 'cylindrothecium')
('class', 'bacillariophyceae', 'genus', 'desmatodon')
('class', 'bacillariophyceae', 'genus', 'dictyonema')
('class', 'bacillariophyceae', 'genus', 'endococcus')
('class', 'bacillariophyceae', 'genus', 'epicladonia')
('class', 'bacillariophyceae', 'genus', 'erythrobarbula')
('class', 'bacillariophyceae', 'genus', 'everniicola')
('class', 'bacillariophyceae', 'genus', 'hassea')
('class', 'bacillariophyceae', 'genus', 'hawksworthiana')
('class', 'bacillariophyceae', 'genus', 'homostegia')
('class', 'bacillariophyceae', 'genus', 'illosporium')
('class', 'bacillariophyceae', 'genus', 'karschia')
('class', 'bacillariophyceae', 'genus', 'kirschsteiniothelia')
('class', 'bacillariophyceae', 'genus', 'kurzia')
('class', 'bacillariophyceae', 'genus', 'leprocaulon')
('class', 'bacillariophyceae', 'genus', 'leptotrichum')
('class', 'bacillariophyceae', 'genus', 'lichenodiplis')
('class', 'bacillariophyceae', 'genus', 'lichenosticta')
('class', 'bacillariophyceae', 'genus', 'llimoniella')
('class', 'bacillariophyceae', 'genus', 'minutoexcipula')
('class', 'bacillariophyceae', 'genus', 'mycoglaena')
('class', 'bacillariophyceae', 'genus', 'mycoporellum')
('class', 'bacillariophyceae', 'genus', 'phaeopyxis')
('class', 'bacillariophyceae', 'genus', 'phaeosporobolus')
('class', 'bacillariophyceae', 'genus', 'phragmonaevia')
('class', 'bacillariophyceae', 'genus', 'refractohilum')
('class', 'bacillariophyceae', 'genus', 'roselliniella')
('class', 'bacillariophyceae', 'genus', 'roselliniopsis')
('class', 'bacillariophyceae', 'genus', 'rosellinula')
('class', 'bacillariophyceae', 'genus', 'skyttella')
('class', 'bacillariophyceae', 'genus', 'strangospora')
('class', 'bacillariophyceae', 'genus', 'vouauxiella')
('class', 'bacillariophyceae', 'genus', 'vouauxiomyces')
('class', 'bacillariophyceae', 'order', 'lahmiales')
('class', 'bivalvia', 'order', 'unionida')
('class', 'bivalvia', 'order', 'venerida')
('class', 'bryopsida', 'order', 'hypnobryales')
('class', 'bryopsida', 'order', 'hypopterygiales')
('class', 'bryopsida', 'order', 'schistostegiales')
('class', 'bryopsida', 'order', 'scouleriales')
('class', 'chlorophyceae', 'order', 'chlorococcales')
('class', 'chlorophyceae', 'order', 'ulvales')
('class', 'chlorophyceae', 'order', 'zygnematales')
('class', 'chromadorea', 'order', 'rhabditida')
('class', 'chrysophyceae', 'order', 'chromulinales')
('class', 'coniocybomycetes', 'order', 'coniocybales')
('class', 'cystobasidiomycetes', 'order', 'cystobasidiales')
('class', 'dothideomycetes', 'genus', 'phaeospora')
('class', 'dothideomycetes', 'order', 'abrothallales')
('class', 'dothideomycetes', 'order', 'asterinales')
('class', 'dothideomycetes', 'order', 'capnodiales')
('class', 'dothideomycetes', 'order', 'dothideales')
('class', 'dothideomycetes', 'order', 'hysteriales')
('class', 'dothideomycetes', 'order', 'lichenoconiales')
('class', 'dothideomycetes', 'order', 'lichenotheliales')
('class', 'dothideomycetes', 'order', 'microthyriales')
('class', 'dothideomycetes', 'order', 'mycosphaerellales')
('class', 'dothideomycetes', 'order', 'patellariales')
('class', 'dothideomycetes', 'order', 'pleosporales')
('class', 'dothideomycetes', 'order', 'strigulales')
('class', 'dothideomycetes', 'order', 'superstratomycetales')
('class', 'dothideomycetes', 'order', 'trypetheliales')
('class', 'eurotiomycetes', 'order', 'chaetothyriales')
('class', 'eurotiomycetes', 'order', 'collemopsidiales')
('class', 'eurotiomycetes', 'order', 'eurotiales')
('class', 'eurotiomycetes', 'order', 'mycocaliciales')
('class', 'eurotiomycetes', 'order', 'onygenales')
